case_id,complaining_id,defending_id,is_melodic_comparison,case_won
285,477,478,False,False
286,479,480,True,False
287,481,482,True,False
288,483,484,False,False
291,485,486,False,False
291,485,487,False,False
292,488,489,False,False
294,490,369,True,False
295,491,430,False,False
296,492,493,False,False
299,494,495,False,False
300,496,497,False,False
301,498,499,False,False
301,500,499,True,False
301,501,502,True,False
302,503,504,False,False
303,505,506,False,False
303,505,507,False,False
304,508,509,False,True
305,510,511,False,False
306,512,513,False,False
307,514,515,False,False
308,516,517,True,True
309,518,519,False,False
310,520,521,False,False
311,522,523,False,False
312,524,525,True,False
314,526,527,False,True
316,270,528,False,False
318,529,530,True,False
319,531,532,True,False
320,524,525,True,False
321,533,534,False,False
322,535,536,False,False
323,537,538,False,False
324,539,540,True,False
326,541,542,False,False
327,543,544,False,False
328,545,546,False,False
329,547,548,False,False
330,549,550,True,False
331,551,552,False,False
332,553,554,False,False
333,555,552,False,False
334,556,557,False,False
335,558,559,False,False
336,560,561,False,False
337,562,563,False,False
338,564,565,False,False
339,566,567,False,False
340,568,569,False,False
342,570,571,True,False
343,572,573,False,False
345,574,575,False,False
346,576,577,False,False
