pair_id,original_midi_path,plagiarised_midi_path
51,plagdet/data/synthetic_dataset/pairs/original\original_51.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_51.mid
52,plagdet/data/synthetic_dataset/pairs/original\original_52.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_52.mid
53,plagdet/data/synthetic_dataset/pairs/original\original_53.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_53.mid
54,plagdet/data/synthetic_dataset/pairs/original\original_54.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_54.mid
55,plagdet/data/synthetic_dataset/pairs/original\original_55.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_55.mid
56,plagdet/data/synthetic_dataset/pairs/original\original_56.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_56.mid
57,plagdet/data/synthetic_dataset/pairs/original\original_57.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_57.mid
58,plagdet/data/synthetic_dataset/pairs/original\original_58.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_58.mid
59,plagdet/data/synthetic_dataset/pairs/original\original_59.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_59.mid
60,plagdet/data/synthetic_dataset/pairs/original\original_60.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_60.mid
61,plagdet/data/synthetic_dataset/pairs/original\original_61.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_61.mid
62,plagdet/data/synthetic_dataset/pairs/original\original_62.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_62.mid
63,plagdet/data/synthetic_dataset/pairs/original\original_63.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_63.mid
64,plagdet/data/synthetic_dataset/pairs/original\original_64.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_64.mid
65,plagdet/data/synthetic_dataset/pairs/original\original_65.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_65.mid
66,plagdet/data/synthetic_dataset/pairs/original\original_66.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_66.mid
67,plagdet/data/synthetic_dataset/pairs/original\original_67.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_67.mid
68,plagdet/data/synthetic_dataset/pairs/original\original_68.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_68.mid
69,plagdet/data/synthetic_dataset/pairs/original\original_69.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_69.mid
70,plagdet/data/synthetic_dataset/pairs/original\original_70.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_70.mid
71,plagdet/data/synthetic_dataset/pairs/original\original_71.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_71.mid
72,plagdet/data/synthetic_dataset/pairs/original\original_72.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_72.mid
73,plagdet/data/synthetic_dataset/pairs/original\original_73.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_73.mid
74,plagdet/data/synthetic_dataset/pairs/original\original_74.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_74.mid
75,plagdet/data/synthetic_dataset/pairs/original\original_75.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_75.mid
76,plagdet/data/synthetic_dataset/pairs/original\original_76.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_76.mid
77,plagdet/data/synthetic_dataset/pairs/original\original_77.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_77.mid
78,plagdet/data/synthetic_dataset/pairs/original\original_78.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_78.mid
79,plagdet/data/synthetic_dataset/pairs/original\original_79.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_79.mid
80,plagdet/data/synthetic_dataset/pairs/original\original_80.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_80.mid
81,plagdet/data/synthetic_dataset/pairs/original\original_81.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_81.mid
82,plagdet/data/synthetic_dataset/pairs/original\original_82.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_82.mid
83,plagdet/data/synthetic_dataset/pairs/original\original_83.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_83.mid
84,plagdet/data/synthetic_dataset/pairs/original\original_84.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_84.mid
85,plagdet/data/synthetic_dataset/pairs/original\original_85.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_85.mid
86,plagdet/data/synthetic_dataset/pairs/original\original_86.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_86.mid
87,plagdet/data/synthetic_dataset/pairs/original\original_87.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_87.mid
88,plagdet/data/synthetic_dataset/pairs/original\original_88.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_88.mid
89,plagdet/data/synthetic_dataset/pairs/original\original_89.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_89.mid
90,plagdet/data/synthetic_dataset/pairs/original\original_90.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_90.mid
91,plagdet/data/synthetic_dataset/pairs/original\original_91.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_91.mid
92,plagdet/data/synthetic_dataset/pairs/original\original_92.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_92.mid
93,plagdet/data/synthetic_dataset/pairs/original\original_93.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_93.mid
94,plagdet/data/synthetic_dataset/pairs/original\original_94.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_94.mid
95,plagdet/data/synthetic_dataset/pairs/original\original_95.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_95.mid
96,plagdet/data/synthetic_dataset/pairs/original\original_96.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_96.mid
97,plagdet/data/synthetic_dataset/pairs/original\original_97.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_97.mid
98,plagdet/data/synthetic_dataset/pairs/original\original_98.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_98.mid
99,plagdet/data/synthetic_dataset/pairs/original\original_99.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_99.mid
100,plagdet/data/synthetic_dataset/pairs/original\original_100.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_100.mid
101,plagdet/data/synthetic_dataset/pairs/original\original_101.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_101.mid
102,plagdet/data/synthetic_dataset/pairs/original\original_102.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_102.mid
103,plagdet/data/synthetic_dataset/pairs/original\original_103.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_103.mid
104,plagdet/data/synthetic_dataset/pairs/original\original_104.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_104.mid
105,plagdet/data/synthetic_dataset/pairs/original\original_105.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_105.mid
106,plagdet/data/synthetic_dataset/pairs/original\original_106.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_106.mid
107,plagdet/data/synthetic_dataset/pairs/original\original_107.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_107.mid
108,plagdet/data/synthetic_dataset/pairs/original\original_108.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_108.mid
109,plagdet/data/synthetic_dataset/pairs/original\original_109.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_109.mid
110,plagdet/data/synthetic_dataset/pairs/original\original_110.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_110.mid
111,plagdet/data/synthetic_dataset/pairs/original\original_111.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_111.mid
112,plagdet/data/synthetic_dataset/pairs/original\original_112.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_112.mid
113,plagdet/data/synthetic_dataset/pairs/original\original_113.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_113.mid
114,plagdet/data/synthetic_dataset/pairs/original\original_114.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_114.mid
115,plagdet/data/synthetic_dataset/pairs/original\original_115.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_115.mid
116,plagdet/data/synthetic_dataset/pairs/original\original_116.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_116.mid
117,plagdet/data/synthetic_dataset/pairs/original\original_117.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_117.mid
118,plagdet/data/synthetic_dataset/pairs/original\original_118.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_118.mid
119,plagdet/data/synthetic_dataset/pairs/original\original_119.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_119.mid
120,plagdet/data/synthetic_dataset/pairs/original\original_120.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_120.mid
121,plagdet/data/synthetic_dataset/pairs/original\original_121.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_121.mid
122,plagdet/data/synthetic_dataset/pairs/original\original_122.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_122.mid
123,plagdet/data/synthetic_dataset/pairs/original\original_123.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_123.mid
124,plagdet/data/synthetic_dataset/pairs/original\original_124.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_124.mid
125,plagdet/data/synthetic_dataset/pairs/original\original_125.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_125.mid
126,plagdet/data/synthetic_dataset/pairs/original\original_126.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_126.mid
127,plagdet/data/synthetic_dataset/pairs/original\original_127.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_127.mid
128,plagdet/data/synthetic_dataset/pairs/original\original_128.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_128.mid
129,plagdet/data/synthetic_dataset/pairs/original\original_129.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_129.mid
130,plagdet/data/synthetic_dataset/pairs/original\original_130.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_130.mid
131,plagdet/data/synthetic_dataset/pairs/original\original_131.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_131.mid
132,plagdet/data/synthetic_dataset/pairs/original\original_132.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_132.mid
133,plagdet/data/synthetic_dataset/pairs/original\original_133.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_133.mid
134,plagdet/data/synthetic_dataset/pairs/original\original_134.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_134.mid
135,plagdet/data/synthetic_dataset/pairs/original\original_135.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_135.mid
136,plagdet/data/synthetic_dataset/pairs/original\original_136.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_136.mid
137,plagdet/data/synthetic_dataset/pairs/original\original_137.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_137.mid
138,plagdet/data/synthetic_dataset/pairs/original\original_138.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_138.mid
139,plagdet/data/synthetic_dataset/pairs/original\original_139.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_139.mid
140,plagdet/data/synthetic_dataset/pairs/original\original_140.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_140.mid
141,plagdet/data/synthetic_dataset/pairs/original\original_141.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_141.mid
142,plagdet/data/synthetic_dataset/pairs/original\original_142.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_142.mid
143,plagdet/data/synthetic_dataset/pairs/original\original_143.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_143.mid
144,plagdet/data/synthetic_dataset/pairs/original\original_144.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_144.mid
145,plagdet/data/synthetic_dataset/pairs/original\original_145.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_145.mid
146,plagdet/data/synthetic_dataset/pairs/original\original_146.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_146.mid
147,plagdet/data/synthetic_dataset/pairs/original\original_147.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_147.mid
148,plagdet/data/synthetic_dataset/pairs/original\original_148.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_148.mid
149,plagdet/data/synthetic_dataset/pairs/original\original_149.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_149.mid
150,plagdet/data/synthetic_dataset/pairs/original\original_150.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_150.mid
151,plagdet/data/synthetic_dataset/pairs/original\original_151.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_151.mid
152,plagdet/data/synthetic_dataset/pairs/original\original_152.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_152.mid
154,plagdet/data/synthetic_dataset/pairs/original\original_154.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_154.mid
155,plagdet/data/synthetic_dataset/pairs/original\original_155.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_155.mid
156,plagdet/data/synthetic_dataset/pairs/original\original_156.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_156.mid
157,plagdet/data/synthetic_dataset/pairs/original\original_157.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_157.mid
158,plagdet/data/synthetic_dataset/pairs/original\original_158.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_158.mid
159,plagdet/data/synthetic_dataset/pairs/original\original_159.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_159.mid
160,plagdet/data/synthetic_dataset/pairs/original\original_160.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_160.mid
161,plagdet/data/synthetic_dataset/pairs/original\original_161.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_161.mid
162,plagdet/data/synthetic_dataset/pairs/original\original_162.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_162.mid
163,plagdet/data/synthetic_dataset/pairs/original\original_163.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_163.mid
164,plagdet/data/synthetic_dataset/pairs/original\original_164.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_164.mid
165,plagdet/data/synthetic_dataset/pairs/original\original_165.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_165.mid
166,plagdet/data/synthetic_dataset/pairs/original\original_166.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_166.mid
167,plagdet/data/synthetic_dataset/pairs/original\original_167.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_167.mid
168,plagdet/data/synthetic_dataset/pairs/original\original_168.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_168.mid
169,plagdet/data/synthetic_dataset/pairs/original\original_169.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_169.mid
170,plagdet/data/synthetic_dataset/pairs/original\original_170.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_170.mid
171,plagdet/data/synthetic_dataset/pairs/original\original_171.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_171.mid
172,plagdet/data/synthetic_dataset/pairs/original\original_172.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_172.mid
173,plagdet/data/synthetic_dataset/pairs/original\original_173.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_173.mid
174,plagdet/data/synthetic_dataset/pairs/original\original_174.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_174.mid
175,plagdet/data/synthetic_dataset/pairs/original\original_175.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_175.mid
176,plagdet/data/synthetic_dataset/pairs/original\original_176.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_176.mid
177,plagdet/data/synthetic_dataset/pairs/original\original_177.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_177.mid
178,plagdet/data/synthetic_dataset/pairs/original\original_178.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_178.mid
179,plagdet/data/synthetic_dataset/pairs/original\original_179.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_179.mid
180,plagdet/data/synthetic_dataset/pairs/original\original_180.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_180.mid
181,plagdet/data/synthetic_dataset/pairs/original\original_181.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_181.mid
182,plagdet/data/synthetic_dataset/pairs/original\original_182.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_182.mid
183,plagdet/data/synthetic_dataset/pairs/original\original_183.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_183.mid
184,plagdet/data/synthetic_dataset/pairs/original\original_184.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_184.mid
185,plagdet/data/synthetic_dataset/pairs/original\original_185.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_185.mid
186,plagdet/data/synthetic_dataset/pairs/original\original_186.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_186.mid
187,plagdet/data/synthetic_dataset/pairs/original\original_187.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_187.mid
188,plagdet/data/synthetic_dataset/pairs/original\original_188.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_188.mid
189,plagdet/data/synthetic_dataset/pairs/original\original_189.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_189.mid
190,plagdet/data/synthetic_dataset/pairs/original\original_190.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_190.mid
191,plagdet/data/synthetic_dataset/pairs/original\original_191.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_191.mid
192,plagdet/data/synthetic_dataset/pairs/original\original_192.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_192.mid
193,plagdet/data/synthetic_dataset/pairs/original\original_193.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_193.mid
194,plagdet/data/synthetic_dataset/pairs/original\original_194.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_194.mid
195,plagdet/data/synthetic_dataset/pairs/original\original_195.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_195.mid
196,plagdet/data/synthetic_dataset/pairs/original\original_196.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_196.mid
197,plagdet/data/synthetic_dataset/pairs/original\original_197.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_197.mid
198,plagdet/data/synthetic_dataset/pairs/original\original_198.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_198.mid
199,plagdet/data/synthetic_dataset/pairs/original\original_199.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_199.mid
200,plagdet/data/synthetic_dataset/pairs/original\original_200.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_200.mid
201,plagdet/data/synthetic_dataset/pairs/original\original_201.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_201.mid
202,plagdet/data/synthetic_dataset/pairs/original\original_202.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_202.mid
203,plagdet/data/synthetic_dataset/pairs/original\original_203.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_203.mid
204,plagdet/data/synthetic_dataset/pairs/original\original_204.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_204.mid
205,plagdet/data/synthetic_dataset/pairs/original\original_205.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_205.mid
206,plagdet/data/synthetic_dataset/pairs/original\original_206.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_206.mid
207,plagdet/data/synthetic_dataset/pairs/original\original_207.mid,plagdet/data/synthetic_dataset/pairs/plagiarised\plagiarised_207.mid
