case_id,year,case_name,case_artist,case_title,case_role,gpt_artist,gpt_title,gpt_conf
88,1987,Williamson v. Pearson Partnership,Rogers & Hammerstein,"""There is Nothing Like a Dame""",complainer,Various Artists,There is Nothing Like a Dame,0.85
89,1988,Gaste v. Morris Kaiserman,Louis Gaste,Pour Toi,complainer,Morris Albert,Feelings,0.95
90,1988,Magazine-Music Verlag v. Ralph Siegel,Julio Iglesias,Alle Liebe dieser Erde; Un canto a galicia,complainer,Julio Iglesias,Un canto a Galicia,0.95
91,1988,Edition Magazine Music v. Sony ATV,Katy Kassay,…wie ein Kind,complainer,Sandra,Secret Land,0.8
92,1989,CBS Records Australia v. Guy Cross,Collette Roberts,Ring My Bell (CBS Version),complainer,Collette,Ring My Bell,0.95
93,1990,Queen & David Bowie v. Vanilla Ice,Queen & David Bowie,Under Pressure,complainer,Queen & David Bowie,Under Pressure,1.0
94,1990,Dawson v. Hinshaw Music,William Dawson (Arr.),Ezekiel Saw De Wheel,complainer,"Traditional, arr. William Dawson",Ezekiel Saw De Wheel,0.9
95,1990,Levine v. McDonald's Corp.,Paul DiFranco and Norman Dolph,Life is a Rock (But the Radio Rolled Me,complainer,Reunion,Life is a Rock (But the Radio Rolled Me),0.95
96,1990,Black v. Gosdin,Damon Black,The Jukebox,complainer,Vern Gosdin,That Just About Does It,0.7
97,1991,Grignon v. Roussel,Rene Grignon,Chanson Numero 7,complainer,Rene Grignon,Chanson Numero 7,0.8
98,1991,Grand Upright v. Warner,"Raymond ""Gilbert"" O'Sullivan",Alone Again (Naturally),complainer,Gilbert O'Sullivan,Alone Again (Naturally),1.0
99,1991,Intersong-USA v. CBS,Enrique Chia,Es,complainer,Enrique Chia,Es,0.95
100,1991,McDonald v. Multimedia Entertainment,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",complainer,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",0.5
101,1991,Enigma v. Phlegma 1991,Enigma,Sadeness I,complainer,Enigma,Sadeness (Part I),0.95
102,1991,EMI U Catalog Inc. v. Far Musikverlag,Tony McKay aka Exuma,There´s a Brown Girl in the Ring,complainer,Boney M.,Brown Girl in the Ring,0.9
103,1991,Herbolzheimer v. Farian,Malcolm’s Lock,Brown Girl,complainer,Boney M.,Brown Girl in the Ring,0.8
104,1992,Chiate v. Morris,Lloyd Chiate,Hello It's Me / I Just Called to Say,complainer,Stevie Wonder,I Just Called to Say I Love You,0.7
105,1992,Moore v. Columbia Pictures,Derrick D. Moore,She Can't Stand It,complainer,Public Enemy,She Watch Channel Zero?!,0.8
106,1993,EMI Music v. Papathanasiou,Stavros Logarides,City of Violets,complainer,Vangelis,City of Violets,0.8
107,1993,Jarvis v. A & M Records,Boyd Jarvis,The Music's Got Me,complainer,Bassheads,The Music's Got Me,0.8
108,1993,Tempo Music v. Famous Music,"Duke Ellington, Billy Strayhorn, Johnny Mercer",Satin Doll,complainer,Duke Ellington,Satin Doll,0.95
109,1993,Sylvestre v. Oswald,Michael Sylvestre and Dougals Richwine,Heaven,complainer,Warrant,Heaven,0.7
110,1993,Les Inconnus v. Parker,Les Inconnus,Auteuil Neuilly Passy,complainer,Les Inconnus,Auteuil Neuilly Passy,0.95
111,1994,Drynan v. Rostad,James Drynan,Filion Family Welcome,complainer,James Drynan,Filion Family Welcome,0.8
112,1994,Campbell v. Acuff-Rose,Williams Dees and Roy Orbison,"Oh, Pretty Woman",complainer,Roy Orbison,"Oh, Pretty Woman",0.9
113,1994,Fantasy v. Fogerty,John Fogerty,Run Through the Jungle,complainer,Creedence Clearwater Revival,Run Through the Jungle,0.95
114,1994,Tin Pan Apple v. Miller Brewing,Morales and Robertson [Fat Boys],Stick 'em,complainer,Fat Boys,Stick 'Em,0.95
115,1995,Crystal Cartier v. Michael Jackson,Crystal Cartier,Dangerous,complainer,Michael Jackson,Dangerous,0.95
116,1995,La Cienega Music Co. v. ZZ Top,John Hooker and Bernard Besman,Boogie Chillen,complainer,John Lee Hooker,Boogie Chillen',0.95
117,1995,Woods v. Bourne,Harry Woods,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",complainer,Al Jolson,"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",0.9
118,1996,Palmieri v. Estefan,Eddie Palmieri,Paginas De Mujer,complainer,Gloria Estefan,Abriendo Puertas,0.75
119,1996,Santrayll v. Burrell,Rene Santrayll & Michael Walker,Uh Oh,complainer,MC Hammer,U Can't Touch This,0.8
120,1996,Smith v. Michael Jackson,Robert Smith and Reynard Jones,Don't Let the Sunshine / Happy Go Lucky Girl,complainer,Michael Jackson,The Girl Is Mine,0.7
121,1997,Damiano v. Sony,James Damiano,Miscellaneous lyrics and instrumental arrangement,complainer,Bob Dylan,Dignity,0.75
122,1997,McRae v. Smith,Maree McRae,"Every Minute, Every Hour, Every Day",complainer,Maree McRae,"Every Minute, Every Hour, Every Day",0.9
123,1997,Repp v. Webber,Ray Repp,Till You,complainer,Andrew Lloyd Webber,The Phantom of the Opera,0.7
124,1997,Tuff 'N' Rumble v. Profile Records,Robert Plant et al.,Impeach the President,complainer,The Honey Drippers,Impeach the President,0.95
125,1999,BTE v. Bonnecaze,"Kevin Griffin, et al.",Coyote,complainer,Better Than Ezra,Coyote,0.85
126,1999,Ellis v. Diffie,Everett Ellis,Lay Me Out By the Jukebox When I Die,complainer,Joe Diffie,Prop Me Up Beside the Jukebox (If I Die),0.95
127,1999,Selletti v. Carey,Christopher Selletti,Hero,complainer,Mariah Carey,Hero,0.95
128,1999,Suzane McKinley v. Collin Raye,Suzane McKinley,I Think About You,complainer,Collin Raye,I Think About You,0.95
129,1999,ZZ Top v. Chrysler Corp.,"Billy Gibbons, et al.",La Grange,complainer,ZZ Top,La Grange,0.95
130,1999,Anzilotti v. Hildenbeutel,Snap!,Green Grass Grows (Earth follows),complainer,Snap!,Green Grass Grows (Earth follows),0.9
131,2000,Armstrong v. Virgin Records,"John McLaughlin, et al.",Planetary Citizen,complainer,Mahavishnu Orchestra,Planetary Citizen,0.95
132,2000,Three Boys Music v. Michael Bolton,Isley Brothers,Love is a Wonderful Thing,complainer,Michael Bolton,Love Is a Wonderful Thing,0.95
133,2000,Tisi v. Patrick,Michael Tisi,Sell Your Soul,complainer,Michael Tisi,Sell Your Soul,0.8
134,2000,Bouffard v. Ministère Public,,Various pop songs in SACEM catalog,complainer,nan,Various,0.5
135,2000,"Cooper v. Ogilvy & Mather, et al.",Matthew Cooper,The Lower we Fly,complainer,Eluvium,The Lower We Fly,0.7
136,2001,Oliviera v. Frito-Lay,Astrud Gilberto,Girl from Ipenama,complainer,Astrud Gilberto,The Girl from Ipanema,0.9
137,2001,Albano Carrisi v. Michael Jackson,Albano Carrisi,I cigni di Balaka,complainer,Michael Jackson,Will You Be There,0.9
138,2001,Marlon Williams v. Calvin Broadus,Marlon Williams,The Symphony,complainer,Marley Marl,The Symphony,0.85
139,2001,Johnson v. Berry,Chuck Berry and Johnnie Johnson,Wee Wee Hours,complainer,Chuck Berry,Wee Wee Hours,0.95
140,2001,Toliver v. Sony Music,Paula Toliver,Independent Lady,complainer,Paula Perry,Independent Woman,0.7
141,2002,Creagh v. Hit and Run Music,Marianne Creagh,Where are You Now,complainer,Jackson Browne,Where Were You,0.6
142,2002,Jean et al. v. Bug Music,"Leo Nocentelli, et al.",Hand Clapping Song,complainer,The Meters,Hand Clapping Song,0.95
143,2002,Malmstedt v. EMI Records,Stephan Malmstedt,Jenny and I,complainer,Stephan Malmstedt,Jenny and I,0.8
144,2002,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer,Enrique Iglesias,Heartbeat,0.7
145,2003,Cottrill v. Spears,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,complainer,Britney Spears,What U See (Is What U Get),0.95
146,2003,Newton v. Diamond,James W. Newton,Choir,complainer,Beastie Boys,Pass the Mic,0.9
147,2003,Ory v. Country Joe McDonald,"Edward ""Kid"" Ory",Muskrat Ramble,complainer,Country Joe McDonald,Muskrat Ramble,0.95
148,2003,Jorgensen v. Epic/Sony Records,John L. Jorgensen,Long Lost Lover,complainer,Michael Bolton,Love Is a Wonderful Thing,0.7
149,2003,Ergin v. Kershaw,"Mehmet Ergin, Christoph Lienemann",Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,complainer,Mehmet Ergin,"Jingle of German bank: ""Wenn’s ums Geld geht-Sparkasse""",0.85
150,2003,Kobayashi v. Hatorri,Asei Kobayashi,Dokomademo Ikou [Let's Go Anywhere],complainer,Asei Kobayashi,Dokomademo Ikou,0.95
151,2004,Apollo v. Coca Cola,Apollo Inc.,When the Sun Rises,complainer,Yanni,When the Sun Rises,0.6
152,2004,Swirsky v. Carey,Seth Swirsky and Warryn Campbell,One of Those Love Songs,complainer,Mariah Carey,Thank God I Found You,0.9
153,2004,"Disney Enterprises, Inc. v. S.G. Griesel",Soloman Ntsele [p/k/a/ Linda],Mbube,complainer,The Tokens,The Lion Sleeps Tonight,0.9
154,2004,Ulloa v. Universal,Demme Ulloa,Brief countermelody to defendant's song,complainer,Jennifer Lopez,I'm Real,0.6
155,2005,BMS Entertainment v. Bridges,"Ramid Brown, et al.",Straight Like That,complainer,Ludacris,Get Back,0.8
156,2005,"Bridgeport Music v. Dimension Films, et al.",George Clinton,Get Off Your Ass and Jam,complainer,Funkadelic,Get Off Your Ass and Jam,0.95
157,2005,Coffey v. Warner/Chappell Music,Elizabeth Coffey,Forever After,complainer,TobyMac,Gone,0.7
158,2005,Griffin v. J-Records,Tia Griffin,Heart of Gold,complainer,Neil Young,Heart of Gold,0.6
159,2005,Johnson v. Gordon,Calvin R. Johnson,You’re the One (For Me),complainer,D-Train,You're the One for Me,0.9
160,2005,Positive Black Talk v. Cash Money Records,"Jerome Temple (""Jubilee"")",Back That Ass Up,complainer,Juvenile,Back That Azz Up,0.95
161,2005,Vargas v. Pfizer,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,complainer,Ralph Vargas,Bust Dat Groove Without Ride,0.9
162,2005,Yong Wang v. Zhengben Zhu,Yong Wang,Send My Comrade to Beijing,complainer,Yong Wang,Send My Comrade to Beijing,0.8
163,2005,Bacalov v. Endrigo,Sergio Endrigo,Nelle mie notti,complainer,Sergio Endrigo,Nelle mie notti,0.95
164,2006,Boone v. Jackson,"Carl Boone (""Trajik"")",Holla Back,complainer,Trajik,Holla Back,0.8
165,2006,Tilford v. Jones,Bradley Tilford,Still Tippin',complainer,Mike Jones feat. Slim Thug and Paul Wall,Still Tippin',0.95
166,2007,Armour v. Knowles,Jennifer Armour,Got a Little Bit of Love for You,complainer,Beyoncé,Baby Boy,0.7
167,2007,Bridgeport Music v. Combs,"Robert Jones, et al.",Singing in the Morning,complainer,Notorious B.I.G.,Ready to Die,0.6
168,2007,"Lil' Joe Wein Music, Inc. v. Jackson",Luther Campbell,It's Your Birthday,complainer,2 Live Crew,It's Your Birthday,0.85
169,2007,People v. Hu,Lo,Lianshang Love Song,complainer,Lo Ta-yu,Love Song 1990,0.7
170,2007,Vargas v. Transeau,Ralph Vargas and Bland-Ricky Roberts,Aparthenonia,complainer,BT,Aparthenonia,0.8
171,2007,Velez v. Sony Discos,Victor Velez,Hasta Hoy,complainer,Marc Anthony,Hasta Ayer,0.7
172,2007,Lester v. U2,Chris Lester,Nowhere Fast,complainer,U2,Vertigo,0.8
173,2007,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",Xu Ruhui,"Arrangements of Chinese Operas, including: The Mother as Slave",complainer,Traditional,The Mother as Slave,0.6
174,2008,Glover v. Austin,Corey Glover,Make Up Your Mind,complainer,Corey Glover,Make Up Your Mind,0.85
175,2008,"Winter v. Moore, et al.","Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Nordrach,complainer,Jud's Gallery,Nordrach,0.85
176,2008,Sampath v. Roshan,Ram Sampath,The Thump,complainer,Ram Sampath,The Thump,0.9
177,2009,Allen v. Destiny's Child,Rickey Allen,Cater 2 U,complainer,Destiny's Child,Cater 2 U,0.95
178,2009,Brainard v. Vassar,Dustin Evans,Good Ol' Days to Come,complainer,Dustin Evans,Good Ol' Days to Come,0.9
179,2009,"Steele v. Bongiovi, et al.",Samuel Steele,Man I Really Love This Team,complainer,Bon Jovi,I Love This Town,0.8
180,2009,"Bridgeport Music, Inc. v. UMG Recordings, Inc",George Clinton,Atomic Dog,complainer,George Clinton,Atomic Dog,0.95
181,2009,Jones v. Blige,Leonard Jones and James E. White,Party Ain't Crunk,complainer,Mary J. Blige,Enough Cryin',0.7
182,2009,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",Joe Satriani,If I Could Fly,complainer,Joe Satriani,If I Could Fly,1.0
183,2009,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer,Nneka,Heartbeat,0.7
184,2010,"Currin v. Pharrell Williams, et al.",David & Peter Currin,I'm Frontin',complainer,Pharrell Williams feat. Jay-Z,Frontin',0.9
185,2010,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,Marion Sinclair,Kookaburra Sits in the Old Gum Tree,complainer,Men at Work,Down Under,0.95
186,2010,Marshall v. Huffman,Preston Marshall,You are the One,complainer,Shiny Toy Guns,You Are the One,0.7
187,2010,"Prunte v. Universal Music Group Inc., et al.",Robert R. Prunte,"Fire in Da Hole, Plus Others",complainer,Nelly,N Dey Say,0.4
188,2010,Martel Ellis v. Wyclef Jean,Martel Ellis,Danger,complainer,Wyclef Jean,Danger,0.8
189,2010,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",Ebony Latrice Batts aka “Phoenix Phenom”,Boom Dynamite,complainer,The Black Eyed Peas,Boom Boom Pow,0.85
190,2010,"Holmes v. Page, et al.",Jake Holmes,Dazed and Confused,complainer,Led Zeppelin,Dazed and Confused,0.95
191,2011,"Ernest Straughter v. Usher Raymond, et al.",Ernest Straughter,The Reasons Why,complainer,Usher,Burn,0.85
192,2011,Pyatt v. Raymond,Wadena Pyatt,Caught Up,complainer,Usher,Caught Up,0.95
193,2011,Lessem v. Taylor,"Ryan Lessem, Douglas Johnson",Elevator,complainer,Flo Rida,Elevator,0.9
194,2011,"Saregama India v. Timothy Mosley, et al.",Anonymous,Baghon Mein Behar Hai,complainer,Timberland,Put You on the Game,0.8
195,2011,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",Marshall Mathers [aka “Eminem”],Advertisement for Chrysler Corp.,complainer,Eminem,Lose Yourself,0.95
196,2011,Obinger v. McDonald's,Stephan Obinger,,complainer,Stephan Obinger,Unknown,0.1
197,2011,Stokes v. Stephens,Anthony Stokes,Where are You Now?,complainer,Justin Bieber feat. Diplo and Skrillex,Where Are Ü Now,0.7
198,2012,"Lyles v. Capital - EMI Music, Inc., et al.",Bruce Lyles,Without You,complainer,David Guetta feat. Usher,Without You,0.6
199,2012,Peters v. West,Vince Peters,Stronger,complainer,Kanye West,Stronger,0.95
200,2012,People v. Xinru Wang,Meiru Huang,What Is Wrong with Love,complainer,Xinru Wang,What Is Wrong with Love,0.8
201,2012,Done Deal v. Carter,William Keith,Bedrock,complainer,Young Money,Bedrock,0.95
202,2012,Poindexter v. EMI Record Group,"Robert Poindexter, et al.",Thin Line Between Love and Hate,complainer,The Persuaders,Thin Line Between Love and Hate,0.9
203,2012,Rui Hua Wang v. Qi Gang Chen,Rui Hua Wang,You and Me,complainer,Lifehouse,You and Me,0.5
204,2012,Black Keys v. Home Depot and Pizza Hut,Daniel Auerbach and Patrick Carney,Lonely Boy; Gold on the Ceiling,complainer,The Black Keys,Lonely Boy,0.95
205,2012,Erickson v. Blake,Lars Erickson,Pi Symphony,complainer,Lars Erickson,Pi Symphony,0.95
