musicbrainz_id,case_artist,mb_artist,case_title,mb_title,case_role,case_status,case_id,correct_match
e4027ef5-db6d-49b5-92d5-5ca20e2f9395,Hans Salter,Hans Hollestelle,Bad Lands of Dakota,Dakota,defendant,,36,
b49f1794-cd99-440c-884e-aa8a470d260b,Edward B. Marks,Ian McNabb,December and May,May and December,complainer,,35,
fed8651b-965b-4541-b18d-251997f709ce,,Wayra Nan,,Qapaq Nan,defendant,,35,
019ad5e5-5b52-405f-921b-6ab05b450b6a,Allamae Britton Gingg,Anita O’Day,There'll Never Be Another You,There'll Never Be Another You,complainer,,34,
9e0ebb40-d135-4a2e-b930-4abd1909299b,Mack Gordon and Harry Warren,Harry Warren & Mack Gordon,There Will Never Be Another You,There Will Never Be Another You,defendant,,34,
5f8d76bf-16f1-4d31-b93e-393fe493aa88,Ira Arnstein,Glenn Miller,Kalamazoo,Kalamazoo,complainer,,33,
f8239e5a-3300-4b94-9775-2f39e0aefa97,Harry Warren,Harry Roy & His Band,I've Got a Gal in Kalamazoo,I’ve Got a Gal in Kalamazoo,defendant,,33,
1e733cca-a882-46aa-9c85-a52ba0cf6daa,Ira Arnstein,Ira Kaspi,Whisper to Me,Soft Whisper,complainer,,32,
7d9133b8-a460-4894-93a6-740826ffa941,Hy Zaret et al.,Hy Zaret,It All Comes Back to Me Now,Unchaine Melody,defendant,,32,
0a367013-d576-41cd-af51-25446d5e509d,Joseph McMahon,Willi Carlisle,In Sunny Kansas,Bright Sunny Kansas,complainer,,31,
0b92bf82-d884-4244-a172-c529dde6c534,John Openshaw,Fritz Kreisler,Love Sends A Little Gift of Roses,Openshaw Love Sends a Little Gift of Roses,defendant,,31,
74cfffe3-6eec-446a-8113-6fa00746cb26,Evelyn Carew,Badtown Boys,Chatterbox,Chatterbox,complainer,,30,
f805a60d-ceb8-4601-b0d6-ee276ec81790,Jerome Brainan,Sid Vicious,Chatterbox,Chatterbox,defendant,,30,
1da73cc4-c6f6-4aef-8c60-43fba6dd5f96,Silvano D. Ramos,Joan Blasco,Allà en el Rancho Grande,Allá en el rancho grande,complainer,,29,
1da73cc4-c6f6-4aef-8c60-43fba6dd5f96,Anonymous,Joan Blasco,Allà en el Rancho Grande,Allá en el rancho grande,defendant,,29,
37c76085-88f7-4b26-9b79-8861f0da3b35,Wadsworth Doster,Herbie Mann,Old Eli,Eli Eli,complainer,,28,
ab1f3063-ec11-4c97-9ba2-ee9dbe0d8fd2,Frank Churchill,Frank Churchill,Someday My Prince Will Come,Someday My Prince Will Come,defendant,,28,
fd0fc1e4-e159-4239-8f59-20d5f61ab28c,Joseph Davila,Joseph Isaacs,If I were a Spider...,If I Were the Wind,complainer,,27,
16d4b644-aaf4-4040-bb01-030a669d3cd2,Sigmund Romberg,Sigmund Romberg,Desert Song,Desert Song: Desert Song Waltz,defendant,,27,
2ccf5554-72ce-4127-abff-e47fb5000937,Jack Darrell,Nudge Squidfish,Does Anybody Want a Little Kewpie,Does Anybody Want A Little Love?,complainer,,26,
674e494f-8a8e-4593-b63f-8cb7022eed09,"Sherman, Meskill, and Silver",Jimmie Lunceford and His Orchestra,On the Beach at Bali-Bali,On the Beach at Bali-Bali,defendant,,26,
1e733cca-a882-46aa-9c85-a52ba0cf6daa,Ira Arnstein,Ira Kaspi,Whisper to Me,Soft Whisper,complainer,,25,
b2757722-6cf6-4faa-9713-56cbcc1ced00,Joe Burke,Joe Burke,My Wishing Song,My Darling Asleep / Cailleach an Airgid (jigs),defendant,,25,
2524633f-c0d2-473d-ba06-6800489afb6e,Hortense Hirsch,Hortense Ellis,Lady of Love,Groovy Kind of Love,complainer,,24,
7b495d6b-92e7-4be7-ae3b-6c6737920e76,Harry Revel,Gary Lewis and the Playboys,Without a Word of Warning,Without a Word of Warning,defendant,,24,
b0cc3ad5-a566-4221-9200-75e33571b08e,N. Lindsay Norden (arranger),St. Petersburg Chamber Choir,O Gladsome Light,O Gladsome Light,complainer,,23,
a012269c-9ea3-427f-a6a4-7e42bf4cbdda,Anonymous arranger,Novospassky Monastery Male Choir,O Gladsome Light,"O, Gladsome Light",defendant,,23,
c95e4224-f08b-433f-a6d5-e7e5372ad8bb,Ira Arnstein,Ira B. Liss Big Band Jazz Machine,I Love You Madly,Love You Madly,complainer,,22,
30abcd71-68b2-458e-b279-9d768bedb284,Emery Deutsch and Arthur Altman,Ray Noble and His Orchestra & Al Bowlly,"Play, Fiddle, Play","Play, Fiddle Play",defendant,,22,
4b53aa84-37d6-44ce-9a35-11f45f8bfa99,W.A. (Bud) Wilkie,Lester Flatt & Earl Scruggs,Confessing,Confessing,complainer,,21,
86e5615e-e5af-4c0d-b90a-c8782a7a95ec,Bernice Petkere,Bernice,Starlight,Pacemaker,defendant,,21,
65d73d9a-a893-465f-a4f4-96da9c76fcc1,Charles Francis Park,Candis Francis,What are Your Intentions?,Good Intentions,complainer,,20,
38071f57-d319-4240-8a31-387067f6e3df,"Harry Warren, Al Dubin",Al Dubin & Harry Warren,What are Your Intentions?,We're in the Money,defendant,,20,
eab3870e-ebf0-45ea-84bd-2e3db1ac2abb,Ira Arnstein,Ira Losco,Light My Life With Love,My Life,complainer,,19,
23e5b27c-25d4-4921-ac0b-c96978cad9c8,Nathaniel Shilkret,Nathaniel Shilkret,Lady Divine,Trailer Opening / Trailer Finale,defendant,,19,
5e226ea5-d555-4a7f-973b-6ffb7c923035,Anonymous,Charles Atkins & The Blues Boys,St. James' Infirmary,James Infirmary,complainer,,18,
884049ba-2b58-40e0-9303-b37fb92dc89f,Anonymous,Dave Van Ronk,St. James' Infirmary or Gambler's Blues,Gambler's Blues/St. James Infirmary,defendant,,18,
36e2150e-2451-40fc-a815-487c595f354a,Paolo Citorello,Dean Martin,Luna Mezzo Mare,Luna Mezzo Mare,complainer,,17,
04a6cb77-3d1e-4e8d-9526-cb82b085c9c9,A. A.Galasso,A★Teens,Mamma Mia M'ha Maritan,Mamma Mia,defendant,,17,
a27257b9-7b31-4f4b-9edc-7a3526cc3107,Felix Bernard & Johnny Black,Felix Bernard & Johnny Black,Dardanella,Dardanella,complainer,,16,
8866cac0-8845-4164-8336-0a6b786098bf,Jerome Kern,Jerome Kern,Ka-lu-a,A Little Thing Like a Kiss,defendant,,16,
2efbc9f0-d272-4347-a449-5524f59007b4,Paul Linke,Ross Ainslie,Wedding Dance Waltzes,Wedding Waltzes,complainer,,15,
29f421de-9e62-4105-8a89-5a57cc603018,H. Pitman Clarke,Charles Hart & Elliott Shaw,Swanee River Moon,Swanee River Moon,defendant,,15,
36b7bcde-234e-4774-a212-491a8200dda2,Silvio Hein,Billy Murray,Maria Cahill's Arab Love Song,Arab Love Song,complainer,,14,
cb36c66c-0d41-4847-a887-9073c80b8e7f,Joseph Howard,lots of hands,I Think I Hear a Woodpecker,i think i hear a woodpecker,defendant,,14,
5d19df2c-6287-4826-9c96-230e4e6dc0b4,John Gay,John Gay,"Themes from opera ""Polly""","The Beggar's Opera: Act I. Air. ""Pretty Polly, say"" (Macheath, Polly)",complainer,,13,
5d19df2c-6287-4826-9c96-230e4e6dc0b4,John Gay,John Gay,"Themes from opera ""Polly""","The Beggar's Opera: Act I. Air. ""Pretty Polly, say"" (Macheath, Polly)",defendant,,13,
b8f7ab08-5ec8-4a61-a5af-e36bbff5b988,"Alcide Nunez, Ray Lopez",Bunny Berigan and His Orchestra,Livery Stable Blues,Livery Stable Blues,complainer,,12,
fed8651b-965b-4541-b18d-251997f709ce,,Wayra Nan,,Qapaq Nan,defendant,,12,
a0a18d16-1bc9-4c7b-a51a-852f89050458,William Cahalin,Human Weapon,You Will Never Know ...,... You Will Never Know,complainer,,11,
3a46d61e-da85-4201-9a15-16733aab7a8a,Al Piantadosi,Gerri Gribi,I Didn't Raise My Boy to be a Soldier,I Didn't Raise My Boy to Be a Soldier,defendant,,11,
b3e6cb1f-55f1-4269-9ae0-b9bc80246aa2,Charles Marshall,Charles Harrison,I Hear You Calling Me,I Hear You Calling Me,complainer,,10,
2c451370-3c11-4735-b57a-0345e7426c5f,Jeff Godfrey,Jeff Brown & Still Lonesome,"Tennessee, I Hear You Calling Me",Virginia I Hear You Calling Me,defendant,,10,
78e586c5-cef0-4181-be24-d062fd28118c,W.M.Cooper,Ralph Stanley & The Clinch Mountain Boys,Never Turn Back,"Turn Back, Turn Back",complainer,,9,
30b0f560-4f0c-46f9-8c4c-cd116cfc5f21,Joseph James,R. H. Harris & The Evening Kings,Never Turn Back,Never Turn Back,defendant,,9,
785acfc8-7b45-459e-84e6-ee77a069a742,Adam Geibel,Adam Geibel,Kentucky Babe,Called to Serve,complainer,,8,
fec2720c-1387-4cfa-b7f1-f80a275860ff,Adam Geibel,Criterion Male Quartet,Little Cotton Dolly,Little Cotton Dolly,defendant,,8,
ec50de96-6c83-4364-9542-9f94335b2f6f,"Alice M. Davis (""Hope Temple"") and Frederick Wetherley",Compos Mentis,"""My Lady's Bower""",Lady's Bower,complainer,,7,
648414d8-e9c1-444f-9d5f-853363b8cc16,Player piano rolls produced by defendant Whight,Player Piano,,Und3rgr0und,defendant,,7,
174a8b21-c778-4432-b060-2f847dae2e7b,Bert A. Williams,Skillet Licorice,Dora Dean,Dora Dean,complainer,,6,
f4ec2058-9f64-418f-a93d-1457a6e5bc06,Charles Sidney O'Brien,Gaslight Radio,Ma Angeline,"Angeline, Angeline",defendant,,6,
ce269c45-ea73-4004-a8c9-9d3d893d56bc,Harry Kennedy,Harry Gregson‐Williams,Cradle’s Empty Baby’s Gone,Gone Baby Gone,complainer,,5,
fed8651b-965b-4541-b18d-251997f709ce,,Wayra Nan,,Qapaq Nan,defendant,,5,
5555e368-6699-4b29-ae8c-efebbe1dcd93,Fannie Beane,Seth Kallen & Melody Gardot,My Own Sweet Darling,My Sweet Darling,complainer,,4,
bca841c6-cd74-444d-82ba-8dbb9ef38767,W.D.Hendrickson,Wings,Call Me Back Again,Call Me Back Again,defendant,,4,
99ebbdba-5ae6-4bd6-9d1d-f829d90d196f,Anonymous,Polka Family,Serious Family Polka,Clarinet Polka,complainer,,3,
99ebbdba-5ae6-4bd6-9d1d-f829d90d196f,Anonymous,Polka Family,Serious Family Polka,Clarinet Polka,defendant,,3,
36d30e3d-88d7-4488-a870-08a2f5efaa2f,"Michael Balfe, arranged by Francis Brown",Lorne Balfe,"""Alethia Waltz"", based on a theme from Michael Balfe's ""The Bohemia Girl""",Main Theme (Lorne Balfe),complainer,,2,
fed8651b-965b-4541-b18d-251997f709ce,,Wayra Nan,,Qapaq Nan,defendant,,2,
467a2a56-8514-4d58-9f1e-7cbcb173d241,Henry Russell,Hylo Brown,The Old Arm Chair,The Old Arm Chair,complainer,,1,
6744d055-c3de-42e9-8982-755d5fd9653d,Samuel Carusi,Williamson Brothers and Curry,The Old Arm Chair,The Old Arm Chair,defendant,,1,
d38e9f6a-1720-4584-ae0c-d03adfe03c8a,W.J. Wetmore,Azure Blue,The Cot Beneath the Hill,Beneath the Hill,complainer,,0,
788c2891-7300-436d-87a0-bb0a950585e2,W. J. Wetmore,Wolfarian,The Cot Beneath the Hill,Beneath the Hill,defendant,,0,
