case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
15,Paul Linke,Wedding Dance Waltz,appellant's copyrighted 'Wedding Dance Waltz.',H. Pitman Clarke,Swanee River Moon,"Appellee puts out a song entitled 'Swanee River Moon,'","appellant instituted this suit, declaring that the appellee's composition infringed upon the appellant's copyrighted 'Wedding Dance Waltz.'",True,The essence of the plaintiff’s melody is a descending sequence of thirds arrived at by an ascending interval of a sixth.,False,There was no similarity which constitutes an actionable infringement.
16,Felix Bernard & Johnny Black,Dardanella,"Plaintiff Fred Fisher, owner of the copyright to “Dardanella” — a song popular in the early 1920’s",Jerome Kern,Ka-lu-a,Jerome Kern misappropriated the accompaniment pattern of “Dardanella” and used it in his song “Ka-lu-a”.,"Not only is the figure in each piece exactly alike, but it is used in the same way; that is, as an “ostinato” accompaniment",True,Kern misappropriated the accompaniment pattern of “Dardanella”.,True,I find with the plaintiff on the issue of infringement.
17,Paolo Citorello,Luna Mezzo Mare,the plaintiff’s work is entirely derivative of a folk song.,A. A. Galasso,Mamma Mia M'ha Maritan,The defendants have copied the copyrighted song,The plaintiff and defendant’s songs are brisk tarantella-flavored 6/8 numbers.,True,the defense produced evidence of melodically similar works,True,Decree for plaintiff in usual form.
18,Anonymous,St. James Infirmary,The plaintiff rekindled interest in the public domain song by promoting it under a new title.,Anonymous,Gambler's Blues,A song called 'Gambler's Blues' was sung and played throughout the country.,"In or about March, 1930, the defendant, a rival music publishing house, put on the market the same song and melody under the title 'St. James’ Infirmary or Gambler’s Blues.'",False,,False,"The song is popular, not because plaintiffs publish it, but because they have advertised it and thus made it known to the public."
19,Ira Arnstein,Light My Life With Love,"The plaintiff in 1915 composed a piece entitled, “Light My Life with Love”",Nathaniel Shilkret,Lady Divine,"In 1928, the defendant composed the piece “Lady Divine”",The only parts of the two compositions which are alleged to be similar are portions of the music of the chorus.,True,"The parts are not identical, which circumstance, of course, is not important, but it is my belief that any song-writer and even any person without a musical education...",False,I therefore direct judgment for the defendant with costs.
21,W.A. (Bud) Wilkie,Confessing,a distinctive digression entirely original with the plaintiff; and the defendants have been unable to find anywhere ... the same combination of notes.,Bernice Petkere,Starlight,The alleged infringing composition is a song called “Starlight” which was composed by the defendant Petkere.,The infringement claim boils down to an eight-measure phrase that opens the choruses of both songs.,True,"Unquestionably the melodies are strikingly alike in sound, and a comparison of the note structures shows almost complete identity...",True,"There may be a decree for the plaintiff, with costs."
22,Ira Arnstein,I Love You Madly,"The plaintiff Arnstein’s story is that he originally composed a song called “The Russian Gypsy Valse,” which he took to one Gilbert.",Emery Deutsch and Arthur Altman,"Play, Fiddle, Play",Altman composed the chorus of the infringing song early in 1931.,This is the usual bill in equity upon the infringement of a musical copyright; the plaintiff’s right is admitted and the sole issue is as to the infringement.,True,The first phrase of the infringing chorus consists of the same four notes as the first phrase of the copyrighted song.,False,"Learned Hand affirmed the District Court’s dismissal of Arnstein's claim, but his opinion reveals an attitude far from benevolent towards the defending musicians."
24,Hortense Hirsch,Lady of Love,charging infringement of a copyrighted musical composition entitled 'Lady of Love',Harry Revel,Without a Word of Warning,"incorporated it into a musical composition of their own, later copyrighted, entitled 'Without a Word of Warning'",plaintiff to have appropriated eight bars of her musical composition and incorporated it into a musical composition of their own,True,The playing of the two compositions... carried no identity of melody to me,False,"Judgment will be for the defendants, that the plaintiff take nothing by her suit"
25,Ira Arnstein,Whisper to Me,"Plaintiff claims that there was an infringement of his copyright and a plagiarism of his song, 'Whisper To Me,' by the song of the defendant.",Joe Burke,My Wishing Song,defendant M. Witmark & Sons published its song which he claims was an exact copy of 'Whisper To Me.',Given that there are no melodic correspondences between 'Whisper to Me' and 'My Wishing Song' beyond traces of motivic similarity.,True,"...there is a similarity in the melodic line, but not such a similarity as amounts to identity or to constitute copying.",False,"As for the third factor, substantial similarity, the court made clear that considering Plaintiff's Second Amended Complaint meets the stringent standard."
26,Jack Darrell,Does Anybody Want a Little Kewpie,Gladys Crane swore that Silver had heard her sing the plaintiff’s song.,"Sherman, Meskill, and Silver",On the Beach at Bali-Bali,"defendant’s songs, of a frequently occurring sequence of eight notes",The strength of the plaintiff’s case lies in the substantial identity of a sequence of eight notes in his song and theirs.,True,"The court found substantial identity between plaintiff’s and defendant’s songs, of a frequently occurring sequence of eight notes.",False,We will allow no counsel fee on the appeal. Judgment affirmed.
27,Joseph Davila,If I Were a Spider and You Were My Fly,"Plaintiff sues defendants for copyright infringement of a song entitled âIf I Were A Spider And You Were My Fly,â",Sigmund Romberg,Desert Song,"The defendants Romberg, Harbach and Hammerstein are the composers and lyric writers of a song entitled âThe Desert Songâ",The slight resemblance in the progression of a few bars in both compositions,True,The claimed similarity was no more than âthe slight resemblance in the progression of a few barsâ,False,The complaint is dismissed as to all the defendants.
28,Wadsworth Doster,Old Eli,"â€œOld Eliâ was written by Wadsworth Doster, during the year 1909.",Frank Churchill,Some Day My Prince Will Come,The song âSome Day My Prince Will Comeâ was written by Frank Churchill.,complainantâs number entitled âOld Eli Marchâ...and respondentsâ song âSome Day My Prince Will Come.â,True,âOld Eliâ is a marching song...the other is a waltz song...there is a similarity.,False,"I therefore direct that a decree be entered herein dismissing the complaint, and judgment entered in favor of the respondents."
31,Joseph McMahon,In Sunny Kansas,The plaintiff was a member of Gilmore’s band and published the composition in 1908.,John Openshaw,Love Sends A Little Gift of Roses,"The composer of 'Love Sends A Little Gift Of Roses' was an Englishman, John Openshaw.",Both songs have a nearly identical thematic 'hook.',True,Both songs have a nearly identical thematic 'hook' — i.e. a sequence of eight or nine pitches that is the foundation.,False,The complaint will be dismissed. Submit findings of fact and conclusions of law in conformity with the foregoing opinion.
32,Ira Arnstein,Whisper to Me,"Plaintiff’s song “Whisper To Me,” copyrighted on February 29, 1932",Hy Zaret et al.,It All Comes Back to Me Now,The defendant’s song “It All Comes Back To Me Now.”,Plaintiff's song 'Whisper To Me' is claimed to have been infringed by the defendant’s song 'It All Comes Back To Me Now.',True,There was no proof of access and no similarity in the compositions.,False,The Court found for the defendant.
33,Ira Arnstein,Kalamazoo,Plaintiff's musical composition 'Kalamazoo.',Harry Warren,I've Got a Gal in Kalamazoo,Defendant's song 'I've Got a Gal in Kalamazoo'.,The plaintiff claims that the defendants' song 'I've Got a Gal in Kalamazoo' infringes upon his musical composition 'Kalamazoo'.,True,"The melodies, the harmonies, the accent and the rhythm of the two compositions are entirely different.",False,The Court dismissed Arnstein’s complaint because the word 'Kalamazoo' was the only commonality.
34,Allamae Britton Gingg,There'll Never Be Another You,The music of plaintiff’s composition consists of the melody only.,Mack Gordon and Harry Warren,There Will Never Be Another You,The alleged infringing song is entitled: 'There Will Never Be Another You'.,"Admittedly, the words found in the fourth and also in the last line of defendants’ chorus are practically identical.",True,The most striking similarity between the two works from a musical standpoint was to be found in the first phrase.,False,"The court ultimately decided in favor of the Defendants because, in addition to a lack of proof regarding access, the identified similarities were...unindicative of an original composition."
35,Edward B. Marks,December and May,"The plaintiff originally owned the words to the song, which he sold to a publisher who engaged a musician to set them to music.",,December and May,Plaintiff renewed the registration in his words and assumed the music...would not be simultaneously renewed.,"The appeal dealt with only one of these, which involved the song, “December and May,” owned by both plaintiff and defendant.",False,This dispute does not involve the typical music infringement case claim that the defendant’s work substantially copied the expression of the plaintiff’s.,True,"Judge Learned Hand upheld the district court’s decision, which determined that the song was a joint work."
36,Samuel Brodsky,Prelude in A Major,plaintiff claims defendant lifted from his work,Hans Salter,Bad Lands of Dakota,"Salter, the composer of the supposed plagiarism...composed the music in question",The plaintiff’s case really rests upon no more than the similarity between a few bars of his composition and a few of Salter’s.,True,The plaintiff’s case really rests upon no more than the similarity between a few bars of his composition and a few of Salter’s.,False,Judgment affirmed.
37,Louis Ricca,Carnival in Cotton Town,Plaintiff complains that defendant by its musical composition 'Drummer Boy' has infringed the copyright of plaintiff’s musical composition 'Carnival in Cotton Town.',Roger Edens,Drummer Boy,Defendant’s song was written and composed by Roger Edens at Los Angeles.,Suit for copyright infringement. Plaintiff complains that defendant by its musical composition 'Drummer Boy' has infringed.,True,"the crux of the dispute here is an eight-bar phrase...same syncopated rhythmic pattern, walking bass, alternating tonic-dominant harmony",False,Defendant is entitled to a judgment dismissing the complaint and for judgment in its favor to be settled on notice.
38,Ira Arnstein,Modern Messiah,This involves his 'A Modern Messiah' with defendant's 'Don't Fence Me In.',Cole Porter,Don't Fence Me In,"a number of songs by Cole Porter infringed upon his works, but his paranoia was most likely aroused by 'Don’t Fence Me In'",This involves his 'A Modern Messiah' with defendant's 'Don't Fence Me In.',True,"there is only one place where there is a common sequence of as many as five consecutive notes,",False,"opinion to defendant’s (Cole Porter’s) motion for summary judgment, set an unusually high threshold for success on this motion."
39,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,plaintiff's song were never distributed in the U.S.,Aldo Franchetti,Perhaps,"performance of 'Perhaps' in 'Nice Girl,'","Here similarity exists; indeed, a passage in Franchetti's 'verse' is identical with one in plaintiff's 'chorus.'",True,"both to the eye and ear, the identity is unmistakable",False,Court's majority based its finding of no infringement on the plaintiff's weak showing of access by the defendant to the complaining work.
40,Lionel Belasco,L'Annee Passee,Belasco wrote a song which defendants copied from one who knowingly used it.,The Andrews Sisters,Rum and Coca-Cola,The Andrews Sisters carried labels identifying Amsterdam as composer of both words and music.,The music of defendant's song...was so similar to that of plaintiff's Calypso number as to constitute internal evidence of copying.,True,"The rhythm, construction and the harmony of both songs are little short of identical.",True,"The evidence clearly establishes infringement of plaintiff's copyright, and judgment must go for plaintiff."
41,Mohammed H. Kahn,Victory Calypsoes,"procured a copyright, who thereupon procured a copyright of a booklet containing the song entitled 'Victory Calypsoes.'",Leo Feist,Rum and Coca-Cola,This is a suit to enjoin infringement of the copyright of the plaintiff Khan in the song 'Rum and Coca-Cola.',"Two of the stanzas of this song, as we have already said, were identical with those copyrighted in Trinidad by the plaintiff.",False,,True,Judgment affirmed.
42,Meade Lewis,Yancey Special,Plaintiff claims that defendant's musical composition 'Long Gone' infringes plaintiff's musical composition 'Yancey Special'.,Alphonso Tompkins and Lewis Simpkins,Long Gone,The audio clip of the defending work is from Tomkins and Simpkins's 'Long Gone'.,"It is agreed that the basses are identical. Infringement, if any, must therefore be in the bass.",False,the court handily dismissed the claim noting wryly that the author of the complaining work took the ostinato from James Yancey,False,"Judgment for defendant. Under the copyright law, plaintiff is liable for defendant's costs, expenses and attorneys' fees."
43,Thelma Jones,Just an Old Fashioned Mother and Dad,Plaintiff contended that the song “Near You’” written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.',Francis Craig,Near You,Plaintiff contended that the song “Near You’” written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.',"Plaintiff, Mrs. Selina Jones, contends that the song 'Near You' written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.'",True,The refrains of these numbers... open on the fifth (C) and descend through a chromatically flavored line to the third (A).,False,Complaint dismissed with costs. Settle decree.
44,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,"The plaintiff's composition ""Tonight He Sailed Again""...",Henry B. Glover,"I Love You, Yes I Do","...an infringing musical composition, entitled ""I Love You, Yes I Do"".",We find our impressions as to similarity and access are confirmed...plaintiff's composition is sufficiently original...,True,substantial melodic similarity...first eight bars...comparison shows that 16 of these notes are common...,True,The plaintiff is entitled to recover from the defendants...in consequence of defendants' infringement of plaintiff's copyright.
45,Robert Overman,Wonderful You,Robert E. Overman heard ‘Slow Boat’ and noted what he believed to be a similarity between ... the song ‘Wonderful You’ for which he had written the music.,Frank Loesser,On a Slow Boat to China,"‘On a Slow Boat to China’, words and music by Frank Loesser, was copyrighted, published, and placed on the market in 1948.",Robert E. Overman heard ‘Slow Boat’ and noted what he believed to be a similarity between the Loesser tune and the song ‘Wonderful You’.,True,Robert E. Overman heard ‘Slow Boat’ and noted what he believed to be a similarity between the Loesser tune and the song ‘Wonderful You’.,False,The Ninth Circuit’s opinion upheld the trial court’s decision in favor of the defendant Frank Loesser.
46,Walter Schumann,Theme for Dragnet,complaining_work: Theme for TV show 'Dragnet',Miklos Rozsa,Theme for The Killers,"defending_work: Theme for 1946 movie, 'The Killers'","complaining_work: Theme for TV show 'Dragnet'; defending_work: Theme for 1946 movie, 'The Killers'",True,"Theme for TV show 'Dragnet' vs. Theme for 1946 movie, 'The Killers' suggests similarity issue.",False,No additional case-win evidence provided in comments_and_opinions.
48,Donald Irwin Robertson,The Happy Whistler,Plaintiff's copyrighted composition entitled 'The Happy Whistler'.,San Francisco Brewing Company,Commercial jingle for Burgermeister Beer,Defendants' jingle for beer was not only substantially similar to the most economically valuable portion of plaintiff's song.,The melodic component of the defendants’ jingle for beer was not only substantially similar to the most economically valuable portion of plaintiff’s song.,True,"Defendant Song Ads, Inc., employed Marcelino to whistle the melodic obligato.",True,Plaintiff has made a prima facie showing of acts of copyright infringement.
49,Leonard Smith,Proposed Advertising Jingle for Muehlebach Beer,complaining_work: Proposed Advertising Jingle for Muehlebach Beer,Muehlebach Brewing,Time for Muehlebach,defending_work: Time for Muehlebach,,False,,False,
51,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,Plaintiffs are the owners of a copyright in the musical composition ‘When The Sun Bids The Sky Goodnight.’,Lew Williams (Jan Kaczmarek),While We Dream,The complaint alleges that defendants infringed this copyright by the musical composition ‘While We Dream.’,The District Court found the issues in favor of plaintiffs and ordered defendants to deliver to plaintiffs all infringing material.,True,"The first four bars of the melodies of the choruses of the two songs are, in fact, markedly similar.",True,"Upholding the trial court’s decision in favor of the plaintiff, the Seventh Circuit agreed with the lower court’s inference of copying."
52,Fred Spielman,Rendezvous,Fred Spielman; lyrics by Ruth Freed and Buddy Kaye were added.,Charles Green,I Dreamed,Charles Grean as author of the music.,The music of the defending work was virtually identical to that of the plaintiff.,True,The 'key melodic themes' of the two works sound similar... immediate repetition of the opening melodic idea one tone higher.,True,"Plaintiff is entitled to a decree against the defendants, and each of them, permanently enjoining and restraining them."
53,Lionel Walters,Iron Bar,"Plaintiff obtained copyright registration of the words and music of a song entitled 'Iron Bar' on February 9, 1954.",Erving Burgie (Lord Burgess),Jamaica Farewell,"Defendant Burgie obtained copyright registration of the 'words, music, arrangement' of a song entitled 'Jamaica Farewell'.",Plaintiff charges that the music for this song was stolen from his 'Iron Bar' by defendant Burgie.,True,"unless played in immediate juxtaposition, indistinguishable from the airs of plaintiff’s copyrighted 'Iron Bar' and defendants’ 'Jamaica Farewell'",False,"I find, however, that either consciously or subconsciously he copied all three."
54,Mabel Wayne,In a Little Spanish Town,,Peter de Angelis,Why,,,False,,False,
55,Irving Berlin,A Pretty Girl is Like a Melody,"transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,'",Mad Magazine,Louella Schwartz Describes Her Malady,"defendants transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,' into 'Louella Schwartz Describes Her Malady'","Transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,' into 'Louella Schwartz Describes Her Malady';",False,The defendant’s parody involved a direct borrowing of a limited portion of the plaintiff’s verbal (not musical) expression.,False,opinion upholding the lower court’s decision in favor of the defendant (Mad).
56,The Heartbeats,A Thousand Miles Away,Plaintiff has sustained its burden of proving defendants’ infringement of its valid copyright in ‘A Thousand Miles Away.’,Shep and the Limelites,Daddy's Home,Qualitatively and quantitatively the similarities musically between ‘Daddy’s Home’ and ‘A Thousand Miles Away’ are clearly evident.,The similarities between the two songs are even more pronounced when their melodies are considered.,True,To support its determination of infringement with quantitative heft the court finds that twenty three of the thirty two bars of both songs were identical or similar.,True,Plaintiff has sustained its burden of proving defendants’ infringement of its valid copyright in ‘A Thousand Miles Away.’ Plaintiff has established a right to recover damages.
57,Patricia Smith and Don Fenton,Supercalafajalistickespeealadojus,The complaint alleges copyright infringement of plaintiffs’ song ‘SUPERCALAFAJALISTICKESPEEALADOJUS’,Richard and Robert Sherman,Supercalifragilisticexpialidocious,By Richard and Robert Sherman did not infringe on the words or music of the plaintiffs’ earlier song.,The melodies of the choruses of the two songs are dissimilar; the plaintiffs’ having rather more movement.,True,The melodies of the choruses of the two songs are dissimilar; the plaintiffs’ having rather more movement.,False,Plaintiffs have failed to make a prima facie showing of their ability to prevail on the issue of infringement.
58,Frank Nordstrom,Mizpah or Shalom,"Plaintiff claimed the music of defendant's number infringed his song not because it contains even a passing melodic resemblance to it, but rather because defendant's work has the same overall structure.",Jerry Herman,Shalom,The streaming audio clip of the defending 'Shalom' is from the original Broadway cast's recording of Jerry Herman's 'Milk and Honey.',there is a high degree of similarity between the two compositions,False,The case is unusual because plaintiff claimed the music of defendant's number infringed his song not because it contains even a passing melodic resemblance to it,False,"Accordingly it is Ordered that the motion of the defendant for summary judgment be, and hereby is, denied."
59,Lorenzo Pack,I'm Afraid,,The Supremes,Baby Love,,,False,,False,
60,Franz Josef Breuer,Schwarzbraun ist die Haselnuss,complaining_work: Schwarzbraun ist die Haselnuss,,,,,False,,False,
62,Wilhelm Kienzl,O schöne Jugendtage,claimed Karl Götz...appropriated the melody of the sentimental aria 'O schöne Jugendtage' from Der Evangelimann.,Gerhard Wendland,Tanze mit mir in den Morgen,The music... of 'Tanze mit mir in der Morgen' might be described charitably as 'kitsch'.,appropriated the melody of... 'O schöne Jugendtage'; in 'Tanze mit mir in der Morgen' it serves as the theme of the 'chorus'.,True,The Court correctly found the pitch and intervallic sequences of the melodies of the two works to be highly similar.,False,"The district court dismissed the case, and Bote & Bock ultimately appealed to the Federal High Court in Berlin, which affirmed the lower court’s dismissal."
63,Ruth Stratchborneo,MOJO Workout,"The lyrics, where the greatest similarity occurs, relate to a matter which may not be appropriated.",Muddy Waters,Got My Mojo Working,"record 'Got My Mojo Working,' sung by Muddy Waters, was issued by Chess Records.",A comparison of the Stratchborneo and Foster works (excerpts at this website) confirm the court’s conclusion.,False,,False,"The Court adjudges that all relief shall be denied, and that no party recover costs."
64,Armando Sciascia,Sogno Nostalgico,complaining work: Sogno Nostalgico,Jack Trombey,Girl in the Dark,defending work: Girl in the Dark,settled the dispute regarding the original similarity between the songs,True,settled the dispute regarding the original similarity between the songs,False,"the parties settled the dispute regarding the original similarity between the songs, after the court of appeal decision"
65,The Chiffons,He's So Fine,use of the melodic kernels of plaintiffâs universally popular number,George Harrison,My Sweet Lord,Harrisonâs use of the melodic kernels of plaintiffâs universally popular number,courtâs tone is almost apologetic in determining that Harrisonâs use of the melodic kernels of plaintiffâs universally popular number,True,"Harrison's use of the melodic kernels of plaintiff's universally popular number, in the same order and repetitive sequence and set to 'identical harmonies,'",True,This case found the late George Harrison liable for copyright infringement
66,Leon Pober,Tiny Bubbles,"plaintiff, owner of a copyright song entitled “Tiny Bubbles”",Ernest Gold,Hiding the Wine,part of Ernest Gold’s score for United Artists’ movie 'The Secret of Santa Vittoria',four-note sequence found in “Bubbles” and “Hiding”,True,"a witness for the plaintiff testified that, in his opinion, 16 of 19 consecutive notes in the melodies of the two pieces were the same.",False,The trial court found that plaintiff... failed to show an infringement by the defendants.
67,Andrews Sisters,Boogie Woogie Bugle Boy,"Plaintiffâs statutory copyrights in its song, Bugle Boy.",Earl Wilson & Billy Cunningham,The Cunnilingus Champion of Co. C,made it a part of the musical piece entitled âThe Cunnilingus Champion of Co. C.,Monsieur... to determine whether the latter is so similar to the former as to infringe on plaintiffâs copyright of Bugle Boy.,True,Defendants Wilson and Oesterman played Bugle Boy several times at a rehearsal.,True,"We find all defendants liable to plaintiff for the infringement of plaintiffâs statutory copyrights in its song, Bugle Boy;."
68,Wilma Ferguson,Jeannie Michele,amateur songwriter Wilma Ferguson claimed John Williams misappropriated the theme of her unpublished love ballad 'Jeannie Michele',John Williams,Theme from 'A Time to Love',for the theme music he wrote for NBC’s 'A Time to Love.',There are vague melodic similarity between the two works on which Ferguson based her claim.,True,the only similarity between the two compositions was a recurring three note sequence found also in the works of Johann Sebastian Bach.,False,For these reasons we hold that the district court correctly granted the defendant’s motion for summary judgment. AFFIRMED.
69,Stephen Schwartz,Day by Day,court found the instrumental arrangement and harmonization of defendantâs melody to be substantially similar to that of âDay by Dayâ,Ray Ellis,"Theme for N.B.C.'s ""Today Show""",Ray Ellis had âDay by Dayâ in mind when he wrote the theme music,Day By Day was copied in whole or in part by the author of This Is Today,True,The differences between the melodies of the two works were ârelatively minorâ.,True,"It follows, therefore, since I have found substantial similarity and copying, that This Is Today infringes the copyright in Day By Day."
71,Harry Warren,The Boulevard of Broken Dreams,"The complaining song, 'Boulevard of Broken Dreams’",Doumei Suzuki,One Rainy Night in Tokyo,"the defending song, 'One Rainy Night in Tokyo'","they are almost identical. Yet if one keeps listening, the two songs develop differently.",True,the opening notes of the corresponding motifs sound highly similar.,False,the Court found it reasonable to conclude that defending song could have been unconsciously created.
72,Steve Karman,I Love New York,âI Love New Yorkâ as the target of parody.,Saturday Night Live Cast,I Love Sodom,The song âI Love Sodomâ as a parody.,The tune of âI Love Sodomâ is easily recognizable as âhaving been appropriated from the copyrighted workâ,True,"this portion of the piece, the musical phrase that the lyrics âI Love New Yorkâ accompany, is the heart of the composition.",False,"the Court finds that the defendantâs use of the plaintiffâs jingle in the SNL sketch was a fair use, and that as a result no copyright violation occurred."
73,Pantelis Ghinnis,Dirlada,The plaintiff has acquired the exclusive rights to use the song 'Dirlada'.,Juan Bastos,Loop di Love,The hit 'Loop di Love' was later published by the defendant.,The applicant submitted that 'Dirlada' was used in an inadmissible manner in the composition of the defendant.,True,"The overall impression is essentially shaped by the shape and the way of development, which largely coincided in both pieces of music.",False,"After the plaintiffâs revision, the contested judgment had to be set aside and the legal dispute had to be sent back for a new hearing."
74,Philip J. Lipari,Kept on Singing,"Philip J. Lipari composed the words and music to a composition entitled, âKept on Singingâ in 1969.",Helen Reddy,Keep on Singing,the song was recorded by Helen Reddy for Capitol Records in 1974.,âKeep on Singingâ is strikingly similar to both [Kept on Singing and the Jackson recording],True,Dr. Joseph W. Jenkins...concludes that âthe similarity between the two songs in question was striking.,False,"summary judgment was denied, however, because a question of fact did exist concerning the ëstriking similarityí between the two works."
75,Ivan Gondos,Variations,that variations one and three of Exhibit 1 were copied into Moment of Love and The Homecoming.,Hagood Hardy,The Homecoming,first alleged infringement by defendant Hardy: The Homecoming...alleged to contain 16 bars of the plaintiff’s work.,the similarity between the principal melody of Variations and that of The Homecoming,True,"The judge did find a remarkable similarity between the melodies of the plaintiff's and defendant's work, more so in Toth's Moment of Love.",False,"The counterclaim, which was brought on behalf of Jerry and Rudy Toth, in the second action must be dismissed. There is no evidence that the plaintiff, in composing Variations, had any access to the work of Rudy Toth."
75,Ivan Gondos,Variations,that variations one and three of Exhibit 1 were copied into Moment of Love and The Homecoming.,Rudy and Jerry Toth,Moment of Love,Second alleged infringement by defendant Toth: Moments of Love alleged to have eight bars of the plaintiff’s work.,"I am prepared to find, and I don’t think there is any disagreement between the parties on this fact, that the melodies which the plaintiff purports to be his are similar to those claimed by the defendants to be theirs.",True,"The judge did find a remarkable similarity between the melodies of the plaintiff's and defendant's work, more so in Toth's Moment of Love.",False,"The first action will, therefore, be dismissed with costs. The second action will also be dismissed with costs, and the counterclaim therein dismissed without costs."
76,Ronald Selle,Let It End,"Selle composed his song, 'Let It End,' in one day in the fall of 1975.",Bee Gees,How Deep Is Your Love,"the Bee Gees, in their hit tune, 'How Deep Is Your Love,'","Ronald H. Selle...brought a suit...alleging that the Bee Gees...had infringed...his song, 'Let It End.'",True,the obvious melodic similarities between the works,False,"The court upheld the district court's judgement notwithstanding the verdict, that found defendant not liable for copyright infringement."
