valid,link,case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
1,https://blogs.law.gwu.edu/mcir/case/italian-book-company-v-rossi/,17,Paolo Citorello,Luna Mezzo Mare,the plaintiffas work is entirely derivative of a folk song.,A. A. Galasso,Mamma Mia M'ha Maritan,The defendants have copied the copyrighted song,The plaintiff and defendantas songs are brisk tarantella-flavored 6/8 numbers.,TRUE,the defense produced evidence of melodically similar works,TRUE,Decree for plaintiff in usual form.
1,https://blogs.law.gwu.edu/mcir/case/arnsteinshilkret/,19,Ira Arnstein,Light My Life With Love,"The plaintiff in 1915 composed a piece entitled, aLight My Life with Lovea",Nathaniel Shilkret,Lady Divine,"In 1928, the defendant composed the piece aLady Divinea",The only parts of the two compositions which are alleged to be similar are portions of the music of the chorus.,TRUE,"The parts are not identical, which circumstance, of course, is not important, but it is my belief that any song-writer and even any person without a musical education...",FALSE,I therefore direct judgment for the defendant with costs.
1,https://blogs.law.gwu.edu/mcir/case/wilkie-v-santly-brothers/,21,W.A. (Bud) Wilkie,Confessing,a distinctive digression entirely original with the plaintiff; and the defendants have been unable to find anywhere ... the same combination of notes.,Bernice Petkere,Starlight,The alleged infringing composition is a song called aStarlighta which was composed by the defendant Petkere.,The infringement claim boils down to an eight-measure phrase that opens the choruses of both songs.,TRUE,"Unquestionably the melodies are strikingly alike in sound, and a comparison of the note structures shows almost complete identity...",TRUE,"There may be a decree for the plaintiff, with costs."
1,https://blogs.law.gwu.edu/mcir/case/arnstein-v-edward-b-marks-music-corp/,22,Ira Arnstein,I Love You Madly,"The plaintiff Arnsteinas story is that he originally composed a song called aThe Russian Gypsy Valse,a which he took to one Gilbert.",Emery Deutsch and Arthur Altman,"Play, Fiddle, Play",Altman composed the chorus of the infringing song early in 1931.,This is the usual bill in equity upon the infringement of a musical copyright; the plaintiffas right is admitted and the sole issue is as to the infringement.,TRUE,The first phrase of the infringing chorus consists of the same four notes as the first phrase of the copyrighted song.,FALSE,"Learned Hand affirmed the District Courtas dismissal of Arnstein's claim, but his opinion reveals an attitude far from benevolent towards the defending musicians."
1,https://blogs.law.gwu.edu/mcir/case/hirsch-v-paramount-pictures/,24,Hortense Hirsch,Lady of Love,charging infringement of a copyrighted musical composition entitled 'Lady of Love',Harry Revel,Without a Word of Warning,"incorporated it into a musical composition of their own, later copyrighted, entitled 'Without a Word of Warning'",plaintiff to have appropriated eight bars of her musical composition and incorporated it into a musical composition of their own,TRUE,The playing of the two compositions... carried no identity of melody to me,FALSE,"Judgment will be for the defendants, that the plaintiff take nothing by her suit"
1,https://blogs.law.gwu.edu/mcir/case/arnstein-v-ascap/,25,Ira Arnstein,Whisper to Me,"Plaintiff claims that there was an infringement of his copyright and a plagiarism of his song, 'Whisper To Me,' by the song of the defendant.",Joe Burke,My Wishing Song,defendant M. Witmark & Sons published its song which he claims was an exact copy of 'Whisper To Me.',Given that there are no melodic correspondences between 'Whisper to Me' and 'My Wishing Song' beyond traces of motivic similarity.,TRUE,"...there is a similarity in the melodic line, but not such a similarity as amounts to identity or to constitute copying.",FALSE,"As for the third factor, substantial similarity, the court made clear that considering Plaintiff's Second Amended Complaint meets the stringent standard."
1,https://blogs.law.gwu.edu/mcir/case/darrell-v-joe-morris-music/,26,Jack Darrell,Does Anybody Want a Little Kewpie,Gladys Crane swore that Silver had heard her sing the plaintiffas song.,"Sherman, Meskill, and Silver",On the Beach at Bali-Bali,"defendantas songs, of a frequently occurring sequence of eight notes",The strength of the plaintiffas case lies in the substantial identity of a sequence of eight notes in his song and theirs.,TRUE,"The court found substantial identity between plaintiffas and defendantas songs, of a frequently occurring sequence of eight notes.",FALSE,We will allow no counsel fee on the appeal. Judgment affirmed.
1,https://blogs.law.gwu.edu/mcir/case/davilla-v-harms/,27,Joseph Davila,If I Were a Spider and You Were My Fly,"Plaintiff sues defendants for copyright infringement of a song entitled AAAIf I Were A Spider And You Were My Fly,AAA",Sigmund Romberg,Desert Song,"The defendants Romberg, Harbach and Hammerstein are the composers and lyric writers of a song entitled AAAThe Desert SongAAA",The slight resemblance in the progression of a few bars in both compositions,TRUE,The claimed similarity was no more than AAAthe slight resemblance in the progression of a few barsAAA,FALSE,The complaint is dismissed as to all the defendants.
1,https://blogs.law.gwu.edu/mcir/case/allen-v-walt-disney/,28,Wadsworth Doster,Old Eli,"AaAOld EliAAA was written by Wadsworth Doster, during the year 1909.",Frank Churchill,Some Day My Prince Will Come,The song AAASome Day My Prince Will ComeAAA was written by Frank Churchill.,complainantAAAs number entitled AAAOld Eli MarchAAA...and respondentsAAA song AAASome Day My Prince Will Come.AAA,TRUE,AAAOld EliAAA is a marching song...the other is a waltz song...there is a similarity.,FALSE,"I therefore direct that a decree be entered herein dismissing the complaint, and judgment entered in favor of the respondents."
1,https://blogs.law.gwu.edu/mcir/case/mcmahon-v-harms/,31,Joseph McMahon,In Sunny Kansas,The plaintiff was a member of Gilmoreas band and published the composition in 1908.,John Openshaw,Love Sends A Little Gift of Roses,"The composer of 'Love Sends A Little Gift Of Roses' was an Englishman, John Openshaw.",Both songs have a nearly identical thematic 'hook.',TRUE,Both songs have a nearly identical thematic 'hook' a i.e. a sequence of eight or nine pitches that is the foundation.,FALSE,The complaint will be dismissed. Submit findings of fact and conclusions of law in conformity with the foregoing opinion.
1,https://blogs.law.gwu.edu/mcir/case/arnstein-v-broadcast-music/,32,Ira Arnstein,Whisper to Me,"Plaintiffas song aWhisper To Me,a copyrighted on February 29, 1932",Hy Zaret et al.,It All Comes Back to Me Now,The defendantas song aIt All Comes Back To Me Now.a,Plaintiff's song 'Whisper To Me' is claimed to have been infringed by the defendantas song 'It All Comes Back To Me Now.',TRUE,There was no proof of access and no similarity in the compositions.,FALSE,The Court found for the defendant.
1,https://blogs.law.gwu.edu/mcir/case/arnstein-v-twentieth-century-fox-film/,33,Ira Arnstein,Kalamazoo,Plaintiff's musical composition 'Kalamazoo.',Harry Warren,I've Got a Gal in Kalamazoo,Defendant's song 'I've Got a Gal in Kalamazoo'.,The plaintiff claims that the defendants' song 'I've Got a Gal in Kalamazoo' infringes upon his musical composition 'Kalamazoo'.,TRUE,"The melodies, the harmonies, the accent and the rhythm of the two compositions are entirely different.",FALSE,The Court dismissed Arnsteinas complaint because the word 'Kalamazoo' was the only commonality.
1,https://blogs.law.gwu.edu/mcir/case/gingg-v-twentieth-century-fox-film-corp-et-al/,34,Allamae Britton Gingg,There'll Never Be Another You,The music of plaintiffas composition consists of the melody only.,Mack Gordon and Harry Warren,There Will Never Be Another You,The alleged infringing song is entitled: 'There Will Never Be Another You'.,"Admittedly, the words found in the fourth and also in the last line of defendantsa chorus are practically identical.",TRUE,The most striking similarity between the two works from a musical standpoint was to be found in the first phrase.,FALSE,"The court ultimately decided in favor of the Defendants because, in addition to a lack of proof regarding access, the identified similarities were...unindicative of an original composition."
1,https://blogs.law.gwu.edu/mcir/case/brodsky-v-universal-pictures-company/,36,Samuel Brodsky,Prelude in A Major,plaintiff claims defendant lifted from his work,Hans Salter,Bad Lands of Dakota,"Salter, the composer of the supposed plagiarism...composed the music in question",The plaintiffas case really rests upon no more than the similarity between a few bars of his composition and a few of Salteras.,TRUE,The plaintiffas case really rests upon no more than the similarity between a few bars of his composition and a few of Salteras.,FALSE,Judgment affirmed.
1,https://blogs.law.gwu.edu/mcir/case/jewel-music-v-leo-feist/,37,Louis Ricca,Carnival in Cotton Town,Plaintiff complains that defendant by its musical composition 'Drummer Boy' has infringed the copyright of plaintiffas musical composition 'Carnival in Cotton Town.',Roger Edens,Drummer Boy,Defendantas song was written and composed by Roger Edens at Los Angeles.,Suit for copyright infringement. Plaintiff complains that defendant by its musical composition 'Drummer Boy' has infringed.,TRUE,"the crux of the dispute here is an eight-bar phrase...same syncopated rhythmic pattern, walking bass, alternating tonic-dominant harmony",FALSE,Defendant is entitled to a judgment dismissing the complaint and for judgment in its favor to be settled on notice.
1,https://blogs.law.gwu.edu/mcir/case/arnstein-v-porter/,38,Ira Arnstein,Modern Messiah,This involves his 'A Modern Messiah' with defendant's 'Don't Fence Me In.',Cole Porter,Don't Fence Me In,"a number of songs by Cole Porter infringed upon his works, but his paranoia was most likely aroused by 'Donat Fence Me In'",This involves his 'A Modern Messiah' with defendant's 'Don't Fence Me In.',TRUE,"there is only one place where there is a common sequence of as many as five consecutive notes,",FALSE,"opinion to defendantas (Cole Porteras) motion for summary judgment, set an unusually high threshold for success on this motion."
1,https://blogs.law.gwu.edu/mcir/case/heim-v-universal-pictures/,39,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,plaintiff's song were never distributed in the U.S.,Aldo Franchetti,Perhaps,"performance of 'Perhaps' in 'Nice Girl,'","Here similarity exists; indeed, a passage in Franchetti's 'verse' is identical with one in plaintiff's 'chorus.'",TRUE,"both to the eye and ear, the identity is unmistakable",FALSE,Court's majority based its finding of no infringement on the plaintiff's weak showing of access by the defendant to the complaining work.
1,https://blogs.law.gwu.edu/mcir/case/baron-v-leo-feist/,40,Lionel Belasco,L'Annee Passee,Belasco wrote a song which defendants copied from one who knowingly used it.,The Andrews Sisters,Rum and Coca-Cola,The Andrews Sisters carried labels identifying Amsterdam as composer of both words and music.,The music of defendant's song...was so similar to that of plaintiff's Calypso number as to constitute internal evidence of copying.,TRUE,"The rhythm, construction and the harmony of both songs are little short of identical.",TRUE,"The evidence clearly establishes infringement of plaintiff's copyright, and judgment must go for plaintiff."
1,https://blogs.law.gwu.edu/mcir/case/kahn-v-leo-feist-inc/,41,Mohammed H. Kahn,Victory Calypsoes,"procured a copyright, who thereupon procured a copyright of a booklet containing the song entitled 'Victory Calypsoes.'",Leo Feist,Rum and Coca-Cola,This is a suit to enjoin infringement of the copyright of the plaintiff Khan in the song 'Rum and Coca-Cola.',"Two of the stanzas of this song, as we have already said, were identical with those copyrighted in Trinidad by the plaintiff.",FALSE,The four lines last quoted were sung as a chorus in each song and in form and substance are almost identical.,TRUE,Judgment affirmed.
1,https://blogs.law.gwu.edu/mcir/case/shapiro-bernstein-v-miracle-record/,42,Meade Lewis,Yancey Special,Plaintiff claims that defendant's musical composition 'Long Gone' infringes plaintiff's musical composition 'Yancey Special'.,Alphonso Tompkins and Lewis Simpkins,Long Gone,The audio clip of the defending work is from Tomkins and Simpkins's 'Long Gone'.,"It is agreed that the basses are identical. Infringement, if any, must therefore be in the bass.",FALSE,the court handily dismissed the claim noting wryly that the author of the complaining work took the ostinato from James Yancey,FALSE,"Judgment for defendant. Under the copyright law, plaintiff is liable for defendant's costs, expenses and attorneys' fees."
1,https://blogs.law.gwu.edu/mcir/case/jones-v-supreme-music/,43,Thelma Jones,Just an Old Fashioned Mother and Dad,Plaintiff contended that the song aNear Youaa written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.',Francis Craig,Near You,Plaintiff contended that the song aNear Youaa written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.',"Plaintiff, Mrs. Selina Jones, contends that the song 'Near You' written by Francis Craig infringed upon her song 'Just An Old Fashioned Mother and Dad.'",TRUE,The refrains of these numbers... open on the fifth (C) and descend through a chromatically flavored line to the third (A).,FALSE,Complaint dismissed with costs. Settle decree.
1,https://blogs.law.gwu.edu/mcir/case/northern-music-v-king-record-distribution/,44,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,"The plaintiff's composition ""Tonight He Sailed Again""...",Henry B. Glover,"I Love You, Yes I Do","...an infringing musical composition, entitled ""I Love You, Yes I Do"".",We find our impressions as to similarity and access are confirmed...plaintiff's composition is sufficiently original...,TRUE,substantial melodic similarity...first eight bars...comparison shows that 16 of these notes are common...,TRUE,The plaintiff is entitled to recover from the defendants...in consequence of defendants' infringement of plaintiff's copyright.
1,https://blogs.law.gwu.edu/mcir/case/overman-v-loesser/,45,Robert Overman,Wonderful You,Robert E. Overman heard aSlow Boata and noted what he believed to be a similarity between ... the song aWonderful Youa for which he had written the music.,Frank Loesser,On a Slow Boat to China,"aOn a Slow Boat to Chinaa, words and music by Frank Loesser, was copyrighted, published, and placed on the market in 1948.",Robert E. Overman heard aSlow Boata and noted what he believed to be a similarity between the Loesser tune and the song aWonderful Youa.,TRUE,Robert E. Overman heard aSlow Boata and noted what he believed to be a similarity between the Loesser tune and the song aWonderful Youa.,FALSE,The Ninth Circuitas opinion upheld the trial courtas decision in favor of the defendant Frank Loesser.
1,https://blogs.law.gwu.edu/mcir/case/robertson-v-batten-barton-durstine-osborne/,48,Donald Irwin Robertson,The Happy Whistler,Plaintiff's copyrighted composition entitled 'The Happy Whistler'.,San Francisco Brewing Company,Commercial jingle for Burgermeister Beer,Defendants' jingle for beer was not only substantially similar to the most economically valuable portion of plaintiff's song.,The melodic component of the defendantsa jingle for beer was not only substantially similar to the most economically valuable portion of plaintiffas song.,TRUE,"Defendant Song Ads, Inc., employed Marcelino to whistle the melodic obligato.",TRUE,Plaintiff has made a prima facie showing of acts of copyright infringement.
1,https://blogs.law.gwu.edu/mcir/case/cholvin-v-b-f-music-co/,51,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,Plaintiffs are the owners of a copyright in the musical composition aWhen The Sun Bids The Sky Goodnight.a,Lew Williams (Jan Kaczmarek),While We Dream,The complaint alleges that defendants infringed this copyright by the musical composition aWhile We Dream.a,The District Court found the issues in favor of plaintiffs and ordered defendants to deliver to plaintiffs all infringing material.,TRUE,"The first four bars of the melodies of the choruses of the two songs are, in fact, markedly similar.",TRUE,"Upholding the trial courtas decision in favor of the plaintiff, the Seventh Circuit agreed with the lower courtas inference of copying."
1,https://blogs.law.gwu.edu/mcir/case/dorchester-music-v-national-broadcasting-company/,52,Fred Spielman,Rendezvous,Fred Spielman; lyrics by Ruth Freed and Buddy Kaye were added.,Charles Green,I Dreamed,Charles Grean as author of the music.,The music of the defending work was virtually identical to that of the plaintiff.,TRUE,The 'key melodic themes' of the two works sound similar... immediate repetition of the opening melodic idea one tone higher.,TRUE,"Plaintiff is entitled to a decree against the defendants, and each of them, permanently enjoining and restraining them."
1,https://blogs.law.gwu.edu/mcir/case/walters-v-shari-music-publishing-corp/,53,Lionel Walters,Iron Bar,"Plaintiff obtained copyright registration of the words and music of a song entitled 'Iron Bar' on February 9, 1954.",Lord Burgess,Jamaica Farewell,"Defendant Burgie obtained copyright registration of the 'words, music, arrangement' of a song entitled 'Jamaica Farewell'.",Plaintiff charges that the music for this song was stolen from his 'Iron Bar' by defendant Burgie.,TRUE,"unless played in immediate juxtaposition, indistinguishable from the airs of plaintiffas copyrighted 'Iron Bar' and defendantsa 'Jamaica Farewell'",TRUE,"I find, however, that either consciously or subconsciously he copied all three."
1,https://blogs.law.gwu.edu/mcir/case/francis-day-hunter-v-bron/,54,Mabel Wayne,In a Little Spanish Town,,Peter de Angelis,Why,,,TRUE,,FALSE,
1,https://blogs.law.gwu.edu/mcir/case/irving-berlin-et-al-v-e-c-publications-inc/,55,Irving Berlin,A Pretty Girl is Like a Melody,"transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,'",Mad Magazine,Louella Schwartz Describes Her Malady,"defendants transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,' into 'Louella Schwartz Describes Her Malady'","Transformed the plaintiffs' 'A Pretty Girl Is Like a Melody,' into 'Louella Schwartz Describes Her Malady';",FALSE,The defendantas parody involved a direct borrowing of a limited portion of the plaintiffas verbal (not musical) expression.,FALSE,opinion upholding the lower courtas decision in favor of the defendant (Mad).
1,https://blogs.law.gwu.edu/mcir/case/nom-music-inc-v-kaslin/,56,The Heartbeats,A Thousand Miles Away,Plaintiff has sustained its burden of proving defendantsa infringement of its valid copyright in aA Thousand Miles Away.a,Shep and the Limelites,Daddy's Home,Qualitatively and quantitatively the similarities musically between aDaddyas Homea and aA Thousand Miles Awaya are clearly evident.,The similarities between the two songs are even more pronounced when their melodies are considered.,TRUE,To support its determination of infringement with quantitative heft the court finds that twenty three of the thirty two bars of both songs were identical or similar.,TRUE,Plaintiff has sustained its burden of proving defendantsa infringement of its valid copyright in aA Thousand Miles Away.a Plaintiff has established a right to recover damages.
1,https://blogs.law.gwu.edu/mcir/case/life-music-inc-v-broadcast-music-inc/,57,Patricia Smith and Don Fenton,Supercalafajalistickespeealadojus,The complaint alleges copyright infringement of plaintiffsa song aSUPERCALAFAJALISTICKESPEEALADOJUSa,Robert Sherman,Supercalifragilisticexpialidocious,By Richard and Robert Sherman did not infringe on the words or music of the plaintiffsa earlier song.,The melodies of the choruses of the two songs are dissimilar; the plaintiffsa having rather more movement.,TRUE,The melodies of the choruses of the two songs are dissimilar; the plaintiffsa having rather more movement.,FALSE,Plaintiffs have failed to make a prima facie showing of their ability to prevail on the issue of infringement.
1,https://blogs.law.gwu.edu/mcir/case/nordstrom-v-r-c-a/,58,Frank Nordstrom,Shalom,"Plaintiff claimed the music of defendant's number infringed his song not because it contains even a passing melodic resemblance to it, but rather because defendant's work has the same overall structure.",Jerry Herman,Shalom,The streaming audio clip of the defending 'Shalom' is from the original Broadway cast's recording of Jerry Herman's 'Milk and Honey.',there is a high degree of similarity between the two compositions,FALSE,The case is unusual because plaintiff claimed the music of defendant's number infringed his song not because it contains even a passing melodic resemblance to it,FALSE,"Accordingly it is Ordered that the motion of the defendant for summary judgment be, and hereby is, denied."
1,https://blogs.law.gwu.edu/mcir/case/packson-v-jobete-music/,59,Lorenzo Pack,I'm Afraid,,The Supremes,Baby Love,,,TRUE,,FALSE,
1,https://blogs.law.gwu.edu/mcir/case/bote-bock-musik-v-melodie-der-welt-gmbh-co-kg/,62,Wilhelm Kienzl,O schone Jugendtage,claimed Karl GAtz...appropriated the melody of the sentimental aria 'O schAne Jugendtage' from Der Evangelimann.,Gerhard Wendland,Tanze mit mir in den Morgen,The music... of 'Tanze mit mir in der Morgen' might be described charitably as 'kitsch'.,appropriated the melody of... 'O schAne Jugendtage'; in 'Tanze mit mir in der Morgen' it serves as the theme of the 'chorus'.,TRUE,The Court correctly found the pitch and intervallic sequences of the melodies of the two works to be highly similar.,FALSE,"The district court dismissed the case, and Bote & Bock ultimately appealed to the Federal High Court in Berlin, which affirmed the lower courtas dismissal."
1,https://blogs.law.gwu.edu/mcir/case/strachborneo-v-arc-music/,63,Ruth Stratchborneo,MOJO Workout,"The lyrics, where the greatest similarity occurs, relate to a matter which may not be appropriated.",Muddy Waters,Got My Mojo Working,"record 'Got My Mojo Working,' sung by Muddy Waters, was issued by Chess Records.",A comparison of the Stratchborneo and Foster works (excerpts at this website) confirm the courtas conclusion.,FALSE,,FALSE,"The Court adjudges that all relief shall be denied, and that no party recover costs."
1,https://blogs.law.gwu.edu/mcir/case/mood-music-v-de-wolfe/,64,Armando Sciascia,Sogno Nostalgico,complaining work: Sogno Nostalgico,Jack Trombey,Girl in the Dark,defending work: Girl in the Dark,settled the dispute regarding the original similarity between the songs,TRUE,settled the dispute regarding the original similarity between the songs,FALSE,"the parties settled the dispute regarding the original similarity between the songs, after the court of appeal decision"
1,https://blogs.law.gwu.edu/mcir/case/bright-tunes-music-v-harrisongs-music/,65,The Chiffons,He's So Fine,use of the melodic kernels of plaintiffAAAs universally popular number,George Harrison,My Sweet Lord,HarrisonAAAs use of the melodic kernels of plaintiffAAAs universally popular number,courtAAAs tone is almost apologetic in determining that HarrisonAAAs use of the melodic kernels of plaintiffAAAs universally popular number,TRUE,"Harrison's use of the melodic kernels of plaintiff's universally popular number, in the same order and repetitive sequence and set to 'identical harmonies,'",TRUE,This case found the late George Harrison liable for copyright infringement
1,https://blogs.law.gwu.edu/mcir/case/granite-music-v-united-artists/,66,Leon Pober,Tiny Bubbles,"plaintiff, owner of a copyright song entitled aTiny Bubblesa",Ernest Gold,Hiding the Wine,part of Ernest Goldas score for United Artistsa movie 'The Secret of Santa Vittoria',four-note sequence found in aBubblesa and aHidinga,TRUE,"a witness for the plaintiff testified that, in his opinion, 16 of 19 consecutive notes in the melodies of the two pieces were the same.",FALSE,The trial court found that plaintiff... failed to show an infringement by the defendants.
1,https://blogs.law.gwu.edu/mcir/case/mca-music-v-earl-wilson/,67,Andrews Sisters,Boogie Woogie Bugle Boy,"PlaintiffAAAs statutory copyrights in its song, Bugle Boy.",Earl Wilson & Billy Cunningham,The Cunnilingus Champion of Co. C,made it a part of the musical piece entitled AAAThe Cunnilingus Champion of Co. C.,Monsieur... to determine whether the latter is so similar to the former as to infringe on plaintiffAAAs copyright of Bugle Boy.,TRUE,Defendants Wilson and Oesterman played Bugle Boy several times at a rehearsal.,TRUE,"We find all defendants liable to plaintiff for the infringement of plaintiffAAAs statutory copyrights in its song, Bugle Boy;."
1,https://blogs.law.gwu.edu/mcir/case/ferguson-v-national-broadcasting-company/,68,Wilma Ferguson,Jeannie Michele,amateur songwriter Wilma Ferguson claimed John Williams misappropriated the theme of her unpublished love ballad 'Jeannie Michele',John Williams,Theme from 'A Time to Love',for the theme music he wrote for NBCas 'A Time to Love.',There are vague melodic similarity between the two works on which Ferguson based her claim.,TRUE,the only similarity between the two compositions was a recurring three note sequence found also in the works of Johann Sebastian Bach.,FALSE,For these reasons we hold that the district court correctly granted the defendantas motion for summary judgment. AFFIRMED.
1,https://blogs.law.gwu.edu/mcir/case/herald-square-music-v-living-music/,69,Stephen Schwartz,Day by Day,court found the instrumental arrangement and harmonization of defendantAAAs melody to be substantially similar to that of AAADay by DayAAA,Ray Ellis,"Theme for N.B.C.'s ""Today Show""",Ray Ellis had AAADay by DayAAA in mind when he wrote the theme music,Day By Day was copied in whole or in part by the author of This Is Today,TRUE,The differences between the melodies of the two works were AAArelatively minorAAA.,TRUE,"It follows, therefore, since I have found substantial similarity and copying, that This Is Today infringes the copyright in Day By Day."
1,https://blogs.law.gwu.edu/mcir/case/harry-v-suzuki/,71,Harry Warren,The Boulevard of Broken Dreams,"The complaining song, 'Boulevard of Broken Dreamsa",Doumei Suzuki,One Rainy Night in Tokyo,"the defending song, 'One Rainy Night in Tokyo'","they are almost identical. Yet if one keeps listening, the two songs develop differently.",TRUE,the opening notes of the corresponding motifs sound highly similar.,FALSE,the Court found it reasonable to conclude that defending song could have been unconsciously created.
