year,country,case_name,link,court,complaining_work,defending_work,complaining_author,defending
1924,US,"Fred Fisher, Inc. v. Dillingham",https://blogs.law.gwu.edu/mcir/case/fred-fisher-inc-v-dillingham/,S.D.N.Y.,Dardanella,Ka-lu-a,Felix Bernard & Johnny Black,Jerome Kern
1928,US,Italian Book Company v. Rossi,https://blogs.law.gwu.edu/mcir/case/italian-book-company-v-rossi/,S.D.N.Y.,Luna Mezzo Mare,Mamma Mia M'ha Maritan,Paolo Citorello,A. A.Galasso
1932,US,Gotham Music v. Denton Music Publishing,https://blogs.law.gwu.edu/mcir/case/gotham-music-service-v-denton-music-publishing-co/,N.Y. Ct. App.,St. James' Infirmary,St. James' Infirmary or Gambler's Blues,Anonymous,Anonymous
1933,US,Arnstein v. Shilkret,https://blogs.law.gwu.edu/mcir/case/arnsteinshilkret/,S.D.N.Y.,Light My Life With Love,Lady Divine,Ira Arnstein,Nathaniel Shilkret
1934,US,Park v. Warner Brothers,https://blogs.law.gwu.edu/mcir/case/park-v-warner-brothers/,S.D.N.Y.,What are Your Intentions?,What are Your Intentions?,Charles Francis Park,"Harry Warren, Al Dubin"
1935,US,Wilkie v. Santly Brothers,https://blogs.law.gwu.edu/mcir/case/wilkie-v-santly-brothers/,S.D.N.Y.,Confessing,Starlight,W.A. (Bud) Wilkie,Bernice Petkere
1936,US,Arnstein v. Edward Marks,https://blogs.law.gwu.edu/mcir/case/arnstein-v-edward-b-marks-music-corp/,2d Cir.,I Love You Madly,"Play, Fiddle, Play",Ira Arnstein,Emery Deutsch and Arthur Altman
1936,US,Norden v. Oliver Ditson,https://blogs.law.gwu.edu/mcir/case/norden-v-oliver-ditson/,D. Mass.,O Gladsome Light,O Gladsome Light,N. Lindsay Norden (arranger),Anonymous arranger
1937,US,Hirsch v. Paramount Pictures,https://blogs.law.gwu.edu/mcir/case/hirsch-v-paramount-pictures/,S.D. Cal.,Lady of Love,Without a Word of Warning,Hortense Hirsch,Harry Revel
1939,US,Arnstein v. ASCAP,https://blogs.law.gwu.edu/mcir/case/arnstein-v-ascap/,S.D.N.Y.,Whisper to Me,My Wishing Song,Ira Arnstein,Joe Burke
1940,US,Darrell v. Joe Morris Music,https://blogs.law.gwu.edu/mcir/case/darrell-v-joe-morris-music/,2d Cir.,Does Anybody Want a Little Kewpie,On the Beach at Bali-Bali,Jack Darrell,"Sherman, Meskill, and Silver"
1940,US,Davilla v. Harms,https://blogs.law.gwu.edu/mcir/case/davilla-v-harms/,S.D.N.Y.,If I were a Spider...,Desert Song,Joseph Davila,Sigmund Romberg
1941,US,Allen v. Walt Disney,https://blogs.law.gwu.edu/mcir/case/allen-v-walt-disney/,S.D.N.Y.,Old Eli,Someday My Prince Will Come,Wadsworth Doster,Frank Churchill
1941,US,Marks v. Stasny,https://blogs.law.gwu.edu/mcir/case/marks-v-stasny/,S.D.N.Y.,Allà en el Rancho Grande,Allà en el Rancho Grande,Silvano D. Ramos,Anonymous
1942,US,Carew v. R.K.O. Radio Pictures,https://blogs.law.gwu.edu/mcir/case/carew-v-r-k-o-radio-pictures/,S.D. Cal.,Chatterbox,Chatterbox,Evelyn Carew,Jerome Brainan
1942,US,McMahon v. Harms,https://blogs.law.gwu.edu/mcir/case/mcmahon-v-harms/,S.D.N.Y.,In Sunny Kansas,Love Sends A Little Gift of Roses,Joseph McMahon,John Openshaw
1943,US,Arnstein v. Broadcast Music,https://blogs.law.gwu.edu/mcir/case/arnstein-v-broadcast-music/,2d Cir.,Whisper to Me,It All Comes Back to Me Now,Ira Arnstein,Hy Zaret et al.
1943,US,Arnstein v. Twentieth Century Fox,https://blogs.law.gwu.edu/mcir/case/arnstein-v-twentieth-century-fox-film/,S.D.N.Y.,Kalamazoo,I've Got a Gal in Kalamazoo,Ira Arnstein,Harry Warren
1944,US,"Gingg v. Twentieth Century Fox Film Corp, et al.",https://blogs.law.gwu.edu/mcir/case/gingg-v-twentieth-century-fox-film-corp-et-al/,S.D. Cal.,There'll Never Be Another You,There Will Never Be Another You,Allamae Britton Gingg,Mack Gordon and Harry Warren
1944,US,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,https://blogs.law.gwu.edu/mcir/case/edward-b-marks-music-corp-v-jerry-vogel-music-co/,2d Cir.,December and May,,Edward B. Marks,
1945,US,Brodsky v. Universal Pictures Company,https://blogs.law.gwu.edu/mcir/case/brodsky-v-universal-pictures-company/,2d Cir.,Prelude in A Major,Bad Lands of Dakota,Samuel Brodsky,Hans Salter
1945,US,Jewel Music v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/jewel-music-v-leo-feist/,S.D.N.Y.,Carnival in Cotton Town,Drummer Boy,Louis Ricca,Roger Edens
1946,US,Arnstein v. Porter,https://blogs.law.gwu.edu/mcir/case/arnstein-v-porter/,2d Cir.,Modern Messiah,Don't Fence Me In,Ira Arnstein,Cole Porter
1946,US,Heim v. Universal Pictures,https://blogs.law.gwu.edu/mcir/case/heim-v-universal-pictures/,2d Cir.,Ma Este Meg Boldog Vagyok,Perhaps,Hajdu Imre (Heim),Aldo Franchetti
1948,US,Baron v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/baron-v-leo-feist/,S.D.N.Y.,L'Annee Passee,Rum and Coca-Cola,Lionel Belasco and Massie Patterson,Jeri Sullivan and Paul Baron
1948,US,Kahn v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/kahn-v-leo-feist-inc/,2d Cir.,Victory Calypsoes,Rum and Coca-Cola,Mohammed H. Kahn,Leo Feist
1950,US,"Shapiro, Bernstein v. Miracle Record",https://blogs.law.gwu.edu/mcir/case/shapiro-bernstein-v-miracle-record/,N.D. Ill.,Yancey Special,Long Gone,Meade Lewis,Alphonso Tompkins and Lewis Simpkins
1951,US,Jones v. Supreme Music,https://blogs.law.gwu.edu/mcir/case/jones-v-supreme-music/,S.D.N.Y.,Just an Old Fashioned Mother and Dad,Near You,Thelma Jones,Francis Craig
1952,US,Northern Music v. King Record Distribution,https://blogs.law.gwu.edu/mcir/case/northern-music-v-king-record-distribution/,S.D.N.Y.,Tonight He Sailed Again,"I Love You, Yes I Do",Guy B. Wood and Sol Marcus,Henry B. Glover
1953,US,Overman v. Loesser,https://blogs.law.gwu.edu/mcir/case/overman-v-loesser/,9th Cir.,Wonderful You,On a Slow Boat to China,Robert Overman,Frank Loesser
1954,US,Robbins v. Alamo,https://blogs.law.gwu.edu/mcir/robbins-v-alamo,S.D.N.Y.,"Theme for TV show ""Dragnet""","Theme for 1946 movie, ""The Killers""",Walter Schumann,Miklos Rozsa
1954,US,Mills Music v. Cromwell Music,https://blogs.law.gwu.edu/mcir/case/mills-music-inc-v-cromwell-music-inc/,S.D.N.Y.,"Tzena, Tzena","Tzena, Tzena",Issachar Miron & Julius Grossman,Issachar Miron & Julius Grossman
1956,US,Robertson v. Batten,https://blogs.law.gwu.edu/mcir/case/robertson-v-batten-barton-durstine-osborne/,S.D. Cal.,The Happy Whistler,Ad for San Francisco Brewing Company,Donald Irwin Robertson,"Song Ads, Inc."
1956,US,Smith v. Muehlebach Brewing,https://blogs.law.gwu.edu/mcir/case/smith-v-muehlebach-brewing/,W.D. Mo.,Proposed Advertising Jingle for Muehlebach Beer,Time for Muehlebach,Leonard Smith,Muehlebach Brewing
1956,US,Wihtol v. Wells,https://blogs.law.gwu.edu/mcir/case/wihtol-v-wells/,7th Cir.,My God and I,My God and I,I.B. Sergei (Wihtol),Kenneth H. Wells
1958,US,Cholvin v. B & F Music,https://blogs.law.gwu.edu/mcir/case/cholvin-v-b-f-music-co/,7th Cir.,When the Sun Bids the Sky Goodnight,While We Dream,Homer Cholvin and Norman Stade,Kaczmarek
1959,US,Dorchester Music v. National Broadcasting Company,https://blogs.law.gwu.edu/mcir/case/dorchester-music-v-national-broadcasting-company/,S.D. Cal.,Rendezvous,I Dreamed,Fred Spielman,Charles Green
1960,US,Walters v. Shari Music Publishing,https://blogs.law.gwu.edu/mcir/case/walters-v-shari-music-publishing-corp/,S.D.N.Y.,Iron Bar,Jamaica Farewell,Lionel Walters,Erving Burgie
1963,UK,Francis Day & Hunter v. Bron,https://blogs.law.gwu.edu/mcir/case/francis-day-hunter-v-bron/,Ch. App.,In a Little Spanish Town,Why,Mabel Wayne,Peter de Angelis
1964,US,Irving Berlin et al. v. E.C. Publications,https://blogs.law.gwu.edu/mcir/case/irving-berlin-et-al-v-e-c-publications-inc/,2d Cir.,A Pretty Girl is Like a Melody,Louella Schwartz Describes Her Malady,Irving Berlin,Frank Jacobs and Larry Siegel
1964,US,"Nom Music, Inc. V. Kaslin",https://blogs.law.gwu.edu/mcir/case/nom-music-inc-v-kaslin/,S.D.N.Y.,A Thousand Miles Away,Daddy's Home,James Sheppard and William Miller,James Sheppard and William Miller
1965,US,Life Music v. Broadcast Music,https://blogs.law.gwu.edu/mcir/case/life-music-inc-v-broadcast-music-inc/,S.D.N.Y.,SUPERCALAFAJALISTICK ESPEEALADOJUS,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,Patricia Smith and Don Fenton,Robert Sherman
1965,US,Nordstrom v. R.C.A.,https://blogs.law.gwu.edu/mcir/case/nordstrom-v-r-c-a/,D. Colo.,Mizpah or Shalom,Shalom,Frank Nordstrom,Jerry Herman
1967,US,Packson v. Jobete,https://blogs.law.gwu.edu/mcir/case/packson-v-jobete-music/,E.D. Mich.,I'm Afraid,Baby Love,"Lorenzo Pack, Harper Evans","Eddie Holland, Brian Holland, Lamont Dozier"
1967,DE,In re Geman Collecting Society GEMA,https://blogs.law.gwu.edu/mcir/case/in-re-gema/,BGH [Federal Court of Justice],Schwarzbraun ist die Haselnuss,,GEMA / Franz Josef Breuer,
1969,US,Leo Feist v. Apollo Records,https://blogs.law.gwu.edu/mcir/case/leo-feist-v-apollo-records/,S.D.N.Y.,"Toot, Toot, Tootsie","Toot, Toot, Tootsie",Gus Kahn et al.,Gene Sayet & Sidney Feldman
1970,DE,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,https://blogs.law.gwu.edu/mcir/case/bote-bock-musik-v-melodie-der-welt-gmbh-co-kg/,BGH [Federal Court of Justice],O schöne Jugendtage,Tanze mit mir in den Morgen (Mitternachtstango),Wilhelm Kienzl,Gerhard Wendland
1973,US,Strachborneo v. Arc Music,https://blogs.law.gwu.edu/mcir/case/strachborneo-v-arc-music/,S.D.N.Y.,MOJO Workout,Got My Mojo Working,Ruth Stratchborneo,McKinley Morganfield
1975,UK,Mood Music v. De Wolfe,https://blogs.law.gwu.edu/mcir/case/mood-music-v-de-wolfe/,Ch. D.,Sogno Nostalgico,Girl in the Dark,Armando Sciascia,Jack Trombey
1976,US,Bright Tunes Music v. Harrisongs Music,https://blogs.law.gwu.edu/mcir/case/bright-tunes-music-v-harrisongs-music/,S.D.N.Y.,He's So Fine,My Sweet Lord,Ronald Mack,George Harrison
1976,US,Granite Music v. United Artists,https://blogs.law.gwu.edu/mcir/case/granite-music-v-united-artists/,9th Cir.,Tiny Bubbles,Hiding the Wine,Leon Pober,Ernest Gold
1976,US,MCA Music v. Earl Wilson,https://blogs.law.gwu.edu/mcir/case/mca-music-v-earl-wilson/,S.D.N.Y.,Boogie Woogie Bugle Boy,The Cunnilingus Champion of Co. C,Don Raye and Hughie Prince,Earl Wilson and Billy Cunningham
1978,US,Ferguson v. National Broadcasting Company,https://blogs.law.gwu.edu/mcir/case/ferguson-v-national-broadcasting-company/,5th Cir.,Jeannie Michele,"Theme from ""A Time to Love""",Wilma Ferguson,John Williams
1978,US,Herald Square Music v. Living Music,https://blogs.law.gwu.edu/mcir/case/herald-square-music-v-living-music/,S.D.N.Y.,Day by Day,"Theme for N.B.C.'s ""Today Show""",Stephen Schwartz,Ray Ellis
1978,US,Plymouth Music Co. v. Magnus Organ Corp.,https://blogs.law.gwu.edu/mcir/case/plymouth-music-co-v-magnus-organ-corp/,S.D.N.Y.,Holiday Polka,Holiday Polka,Anonymous,Anonymous
1978,JP,Harry v. Suzuki,https://blogs.law.gwu.edu/mcir/case/harry-v-suzuki/,Supreme Court of Japan,The Boulevard of Broken Dreams,One Rainy Night in Tokyo,Harry Warren,Doumei Suzuki
1980,US,Elsmere Music v. N.B.C.,https://blogs.law.gwu.edu/mcir/case/elsmere-music-v-n-b-c/,2d Cir.,I Love New York (advertising jingle),National Broadcasting Company,Steve Karman,National Broadcasting Company
1980,DE,Hanseatic Musikverlag v. Bellver Musikverlag,https://blogs.law.gwu.edu/mcir/case/hanseatic-musikverlag-v-bellver-musikverlag/,BGH [Federal Court of Justice],Dirlada,Loop Di Love,Pantelis Ghinnis,Juan Bastos
1980,US,Testa v. Janssen,https://blogs.law.gwu.edu/mcir/case/testa-v-janssen/,W.D. Pa.,Kept on Singing,Keep on Singing,Philip J. Lipari,Danny Janssen and Bobby Hart
1982,CA,Gondos v. Hardy,https://blogs.law.gwu.edu/mcir/case/gondos-v-hardy/,Ontario Supreme Court,Variations,"The Homecoming, Moment of Love",Ivan Gondos,"Hagood Hardy, Rudy and Jerry Toth"
1984,US,Selle v. Gibb,https://blogs.law.gwu.edu/mcir/case/selle-v-gibb/,7th Cir.,Let It End,Barry Gibb et al.,Ronald Selle,Barry Gibb et al.
1984,US,Pendleton v. Acuff-Rose,https://blogs.law.gwu.edu/mcir/case/pendleton-v-acuff-rose/,M.D. Tenn.,Just a Blue Box,Mama’s Shoe Box,Howard Leslie Pendleton,Elizabeth Jane Anderson
1985,US,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",https://blogs.law.gwu.edu/mcir/case/cream-records-inc-v-jos-schlitz-brewing-co/,9th Cir.,The Theme From Shaft,TV Ad for Schlitz Beer,Isaac Hayes,Benton and Bowles
1985,UK,Lawson v. Dundas,https://blogs.law.gwu.edu/mcir/case/lawson-v-dundas/,,Channel 4 Jingle,Channel 4 Jingle,David Lawson,David Dundas
1985,US,Dixon v. Atlantic Recording Corp.,https://blogs.law.gwu.edu/mcir/case/dixon-v-atlantic-recording-corp-2/,S.D.N.Y.,I Need Love,Whole Lotta Love,William Dixon,Led Zeppelin
1986,US,Anheuser Busch v. Elsmere Music,https://blogs.law.gwu.edu/mcir/case/anheuser-busch-v-elsmere-music/,S.D.N.Y.,Budweiser Beer Commercial (1970s),Budweiser Beer Commercial (1985),Steve Karmen,Gavin Spencer
1986,US,Benson v. Coca-Cola,https://blogs.law.gwu.edu/mcir/case/benson-v-coca-cola/,11th Cir.,Don't Cha Know,I'd Like to Buy the World a Coke,John Benson,Coca-Cola Company
1986,US,Fisher v. Dees,https://blogs.law.gwu.edu/mcir/case/fisher-v-dees/,9th Cir.,When Sunny Gets Blue,When Sonny Sniffs Glue,Marvin Fisher and Jack Segal,Rick Dees
1987,US,Baxter v. MCA,https://blogs.law.gwu.edu/mcir/case/baxter-v-mca-inc/,9th Cir.,Joy,Theme from 'E.T.',Leslie Baxter,John Williams
1987,US,Siskind v. Newton-John,https://blogs.law.gwu.edu/mcir/case/laura-siskind-v-olivia-newton-john/,S.D.N.Y.,Take a Chance on Love,Take a Chance,Laura Siskind,Olivia Newton-John
1987,CA,Verge v. Imperial Oil Ltd.,https://blogs.law.gwu.edu/mcir/case/verge-v-imperial-oil-ltd/,,It's a Brand New World,Hockey Night Theme,Cyril Verge,Steven Benderoth
1987,UK,Warner Bros. v. Dundas,https://blogs.law.gwu.edu/mcir/case/warner-bros-v-dundas/,Ch. D.,Martha,Advertisement for Kenco Coffee,Tom Waits,David Dundas
1987,UK,Williamson v. Pearson Partnership,https://blogs.law.gwu.edu/mcir/case/williamson-v-pearson-partnership/,Ch. D.,"""There is Nothing Like a Dame""",Advertisement for Rapid Coach Service,Rogers & Hammerstein,Denis King
1988,US,Gaste v. Morris Kaiserman,https://blogs.law.gwu.edu/mcir/case/gaste-v-morris-kaiserman/,2d Cir.,Pour Toi,Feelings,Louis Gaste,Morris Kaiserman
1988,DE,Magazine-Music Verlag v. Ralph Siegel,https://blogs.law.gwu.edu/mcir/case/magazine-music-verlag-v-ralph-siegel/,BGH [Federal Court of Justice],Alle Liebe dieser Erde; Un canto a galicia,Ein bisschen Frieden,Julio Iglesias,Nicole
1988,DE,Edition Magazine Music v. Sony ATV,https://blogs.law.gwu.edu/mcir/case/edition-magazine-music-v-sony-atv/,BGH [Federal Court of Justice],…wie ein Kind,Fantasy,Katy Kassay,"Earth, Wind & Fire"
1989,AU,CBS Records Australia v. Guy Cross,https://blogs.law.gwu.edu/mcir/case/cbs-records-australia-v-guy-cross/,Fed. Ct. Aus.,Ring My Bell (CBS Version),Ring My Bell (Trackdown Version),Collette Roberts,Guy Cross
1990,US,Queen & David Bowie v. Vanilla Ice,https://blogs.law.gwu.edu/mcir/case/queen-david-bowie-v-vanilla-ice/,,Under Pressure,Ice Ice Baby,Queen & David Bowie,Vanilla Ice
1990,US,Dawson v. Hinshaw Music,https://blogs.law.gwu.edu/mcir/case/dawson-v-hinshaw-music/,4th Cir.,Ezekiel Saw De Wheel,Ezekiel Saw De Wheel,William Dawson (Arr.),Gilbert Martin (Arr.)
1990,US,Levine v. McDonald's Corp.,https://blogs.law.gwu.edu/mcir/case/levine-v-mcdonalds-corp/,S.D.N.Y.,Life is a Rock (But the Radio Rolled Me,Menu Song,Paul DiFranco and Norman Dolph,McDonalds Corp.
1990,US,Black v. Gosdin,https://blogs.law.gwu.edu/mcir/case/black-v-gosdin/,M.D. Tenn.,The Jukebox,Set 'Em Up Joe,Damon Black,Vern Gosdin
1991,CA,Grignon v. Roussel,https://blogs.law.gwu.edu/mcir/case/grignon-v-roussel/,Federal Court of Canada,Chanson Numero 7,Tous Les Juke-box,Rene Grignon,Jean-Alain Roussel
1991,US,Grand Upright v. Warner,https://blogs.law.gwu.edu/mcir/case/grand-upright-v-warner/,S.D.N.Y.,Alone Again (Naturally),Alone Again,"Raymond ""Gilbert"" O'Sullivan",Biz Markie
1991,US,Intersong-USA v. CBS,https://blogs.law.gwu.edu/mcir/case/intersong-usa-v-cbs/,S.D.N.Y.,Es,Hey,Enrique Chia,"Mario Balducci, Julio Iglesias"
1991,US,McDonald v. Multimedia Entertainment,https://blogs.law.gwu.edu/mcir/case/mcdonald-v-multimedia-entertainment-inc/,S.D.N.Y.,"Proposed Theme Music for ""Sally Jesse Raphael Show""","Theme Music for ""Sally Jesse Raphael Show""",Gerard McDonald,Dan Radlauer
1991,DE,Enigma v. Phlegma 1991,https://blogs.law.gwu.edu/mcir/case/enigma-v-phlegma-parties-names-still-tbd/,OLG Munich,Sadeness I,Madness I,Enigma,Phlegma
1991,DE,EMI U Catalog Inc. v. Far Musikverlag,https://blogs.law.gwu.edu/mcir/case/emi-u-catalog-inc-v-far-musikverlag/,BGH [Federal Court of Justice],There´s a Brown Girl in the Ring,Brown Girl in the Ring,Tony McKay aka Exuma,Boney M.
1991,DE,Herbolzheimer v. Farian,https://blogs.law.gwu.edu/mcir/case/peter-herbolzheimer-v-frank-farian/,BGH [Federal Court of Justice],Brown Girl,Brown Girl in the Ring,Malcolm’s Lock,Boney M.
1992,US,Chiate v. Morris,https://blogs.law.gwu.edu/mcir/case/chiate-v-morris/,9th Cir.,Hello It's Me / I Just Called to Say,I Just Called to Say I Love You,Lloyd Chiate,Stevland Morris
1992,US,Moore v. Columbia Pictures,https://blogs.law.gwu.edu/mcir/case/moore-v-columbia-pictures/,8th Cir.,She Can't Stand It,"On Our Own (from ""Ghostbusters II"")",Derrick D. Moore,Antonio Reid and Kenny Edmonds
1993,UK,EMI Music v. Papathanasiou,https://blogs.law.gwu.edu/mcir/case/emi-music-v-papathanasiou/,Ch. D.,City of Violets,"Theme from ""Chariots of Fire""",Stavros Logarides,Evangelos Papathanasiou
1993,US,Jarvis v. A & M Records,https://blogs.law.gwu.edu/mcir/case/jarvis-v-a-m-records/,D.N.J.,The Music's Got Me,Get Dumb! (Free Your Body),Boyd Jarvis,Robert Clivilles and David Cole
1993,US,Tempo Music v. Famous Music,https://blogs.law.gwu.edu/mcir/case/tempo-music-v-famous-music/,S.D.N.Y.,Satin Doll,,"Duke Ellington, Billy Strayhorn, Johnny Mercer",
1993,US,Sylvestre v. Oswald,https://blogs.law.gwu.edu/mcir/case/sylvestre-v-oswald/,S.D.N.Y.,Heaven,Heaven,Michael Sylvestre and Dougals Richwine,Jani Lane
1993,FR,Les Inconnus v. Parker,https://blogs.law.gwu.edu/mcir/case/les-inconnus-v-parker/,TGI [Tribunale de grande instance] Paris,Auteuil Neuilly Passy,Southwick,Les Inconnus,Maceo And All The King's Men
1994,CA,Drynan v. Rostad,https://blogs.law.gwu.edu/mcir/case/drynan-v-rostad/,Ontario Court of Justice,Filion Family Welcome,Here We Are On the Road Again,James Drynan,Wayne Rostad
1994,US,Campbell v. Acuff-Rose,https://blogs.law.gwu.edu/mcir/case/campbell-v-acuff-rose/,Supreme Court,"Oh, Pretty Woman","Oh, Pretty Woman",Williams Dees and Roy Orbison,Luther Campbell
1994,US,Fantasy v. Fogerty,https://blogs.law.gwu.edu/mcir/case/fantasy-v-fogerty/,Supreme Court,Run Through the Jungle,The Old Man Down the Road,John Fogerty,John Fogerty
1994,US,Tin Pan Apple v. Miller Brewing,https://blogs.law.gwu.edu/mcir/case/tin-pan-apple-v-miller-brewing/,S.D.N.Y.,Stick 'em,TV ad for Miller Lite,Morales and Robertson [Fat Boys],Miller Brewing Co.
1995,US,Crystal Cartier v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/crystal-cartier-v-michael-jackson/,10th Cir.,Dangerous,Dangerous,Crystal Cartier,Michael Jackson
1995,US,La Cienega Music Co. v. ZZ Top,https://blogs.law.gwu.edu/mcir/case/la-cienega-music-co-v-zz-top/,9th Cir.,Boogie Chillen,La Grange,John Hooker and Bernard Besman,"William Gibbons, et al."
1995,US,Woods v. Bourne,https://blogs.law.gwu.edu/mcir/case/woods-v-bourne/,2d Cir.,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",,Harry Woods,
1996,US,Palmieri v. Estefan,https://blogs.law.gwu.edu/mcir/case/palmieri-v-estefan/,2d Cir.,Paginas De Mujer,Oye Mi Canto,Eddie Palmieri,Gloria Estefan
1996,US,Santrayll v. Burrell,https://blogs.law.gwu.edu/mcir/case/santrayll-v-burrell/,S.D.N.Y.,Uh Oh,"Pepsi Ad featuring ""Hammer""",Rene Santrayll & Michael Walker,Stanley Kirk Burrell
1996,US,Smith v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/smith-v-michael-jackson/,9th Cir.,Don't Let the Sunshine / Happy Go Lucky Girl,The Girl is Mine,Robert Smith and Reynard Jones,Michael Jackson
1997,US,Damiano v. Sony,https://blogs.law.gwu.edu/mcir/case/damiano-v-sony/,D.N.J.,Miscellaneous lyrics and instrumental arrangement,Dignity,James Damiano,Bob Dylan
1997,US,McRae v. Smith,https://blogs.law.gwu.edu/mcir/case/mcrae-v-smith/,D. Colo.,"Every Minute, Every Hour, Every Day",Every Second,Maree McRae,Wayne Perry and Gerald Smith
1997,US,Repp v. Webber,https://blogs.law.gwu.edu/mcir/case/repp-v-webber/,2d Cir.,Till You,Phantom Song,Ray Repp,Andrew Lloyd-Webber
1997,US,Tuff 'N' Rumble v. Profile Records,https://blogs.law.gwu.edu/mcir/case/tuff-n-rumble-v-profile-records/,S.D.N.Y.,Impeach the President,Back from Hell,Robert Plant et al.,Joseph Simmonds et al.
1999,US,BTE v. Bonnecaze,https://blogs.law.gwu.edu/mcir/case/bte-v-bonnecaze/,E.D. La.,Coyote,,"Kevin Griffin, et al.",
1999,US,Ellis v. Diffie,https://blogs.law.gwu.edu/mcir/case/ellis-v-diffie/,6th Cir.,Lay Me Out By the Jukebox When I Die,Prop Me Up Beside the Jukebox (If I Die),Everett Ellis,Joe Diffie
1999,US,Selletti v. Carey,https://blogs.law.gwu.edu/mcir/case/selletti-v-carey/,2d Cir.,Hero,Hero,Christopher Selletti,Mariah Carey
1999,US,Suzane McKinley v. Collin Raye,https://blogs.law.gwu.edu/mcir/case/suzane-mckinley-v-collin-raye/,N.D.Tex.,I Think About You,I Think About You,Suzane McKinley,Steve Seskin & Collin Raye
1999,US,ZZ Top v. Chrysler Corp.,https://blogs.law.gwu.edu/mcir/case/zz-top-v-chrysler-corp/,W.D. Wa.,La Grange,Promotional video for Plymouth Prowler,"Billy Gibbons, et al.",Chrysler Corporation
