24,24,1937,Hirsch v. Paramount Pictures,Hortense Hirsch,Lady of Love,complainer,Paramount Pictures,Lady of Love,0.4
25,25,1939,Arnstein v. ASCAP,Ira Arnstein,Whisper to Me,complainer,Ira Arnstein,Whisper to Me,0.8
26,26,1940,Darrell v. Joe Morris Music,Jack Darrell,Does Anybody Want a Little Kewpie,complainer,Benny Goodman,Does Anybody Want a Little Kewpie,0.5
27,27,1940,Davilla v. Harms,Joseph Davila,If I were a Spider...,complainer,Joseph Davilla,If I Were a Spider,0.7
28,28,1941,Allen v. Walt Disney,Wadsworth Doster,Old Eli,complainer,Wadsworth Doster,Old Eli,0.7
29,29,1941,Marks v. Stasny,Silvano D. Ramos,Allà en el Rancho Grande,complainer,Jorge Negrete,Allá en el Rancho Grande,0.85
30,30,1942,Carew v. R.K.O. Radio Pictures,Evelyn Carew,Chatterbox,complainer,Evelyn Carew,Chatterbox,0.8
31,31,1942,McMahon v. Harms,Joseph McMahon,In Sunny Kansas,complainer,Joseph McMahon,In Sunny Kansas,0.8
32,32,1943,Arnstein v. Broadcast Music,Ira Arnstein,Whisper to Me,complainer,Frank Sinatra,A Sinner Kissed an Angel,0.6
33,33,1943,Arnstein v. Twentieth Century Fox,Ira Arnstein,Kalamazoo,complainer,Glenn Miller and His Orchestra,I've Got a Gal in Kalamazoo,0.8
34,34,1944,"Gingg v. Twentieth Century Fox Film Corp, et al.",Allamae Britton Gingg,There'll Never Be Another You,complainer,Harry Warren and Mack Gordon,There Will Never Be Another You,0.85
35,35,1944,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,Edward B. Marks,December and May,complainer,Edward B. Marks Music Corporation,December and May,0.8
36,36,1945,Brodsky v. Universal Pictures Company,Samuel Brodsky,Prelude in A Major,complainer,Chopin,"Prelude in A Major, Op. 28, No. 7",0.7
37,37,1945,Jewel Music v. Leo Feist,Louis Ricca,Carnival in Cotton Town,complainer,Louis Ricca,Carnival in Cotton Town,0.8
38,38,1946,Arnstein v. Porter,Ira Arnstein,Modern Messiah,complainer,Ira Arnstein,Modern Messiah,0.7
39,39,1946,Heim v. Universal Pictures,Hajdu Imre (Heim),Ma Este Meg Boldog Vagyok,complainer,Zsigmond Vincze,Ma Este Meg Boldog Vagyok,0.85
40,40,1948,Baron v. Leo Feist,Lionel Belasco and Massie Patterson,L'Annee Passee,complainer,Lionel Belasco,L'Annee Passee,0.9
41,41,1948,Kahn v. Leo Feist,Mohammed H. Kahn,Victory Calypsoes,complainer,Lord Invader,Rum and Coca-Cola,0.8
42,42,1950,"Shapiro, Bernstein v. Miracle Record",Meade Lewis,Yancey Special,complainer,Meade Lux Lewis,Yancey Special,0.95
43,43,1951,Jones v. Supreme Music,Thelma Jones,Just an Old Fashioned Mother and Dad,complainer,Thelma Jones,Just an Old Fashioned Mother and Dad,0.7
44,44,1952,Northern Music v. King Record Distribution,Guy B. Wood and Sol Marcus,Tonight He Sailed Again,complainer,Jerry Vale,Tonight He Sailed Again,0.7
45,45,1953,Overman v. Loesser,Robert Overman,Wonderful You,complainer,Frank Loesser,Wonderful You,0.5
46,46,1954,Robbins v. Alamo,Walter Schumann,"Theme for TV show ""Dragnet""",complainer,Walter Schumann,Dragnet,0.95
47,47,1954,Mills Music v. Cromwell Music,Issachar Miron & Julius Grossman,"Tzena, Tzena",complainer,The Weavers,"Tzena, Tzena, Tzena",0.9
48,48,1956,Robertson v. Batten,Donald Irwin Robertson,The Happy Whistler,complainer,Don Robertson,The Happy Whistler,0.95
49,49,1956,Smith v. Muehlebach Brewing,Leonard Smith,Proposed Advertising Jingle for Muehlebach Beer,complainer,Not applicable,Proposed Advertising Jingle for Muehlebach Beer,0.3
50,50,1956,Wihtol v. Wells,I.B. Sergei (Wihtol),My God and I,complainer,I.B. Sergei,My God and I,0.9
51,51,1958,Cholvin v. B & F Music,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,complainer,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,0.7
52,52,1959,Dorchester Music v. National Broadcasting Company,Fred Spielman,Rendezvous,complainer,Fred Spielman,Rendezvous,0.7
53,53,1960,Walters v. Shari Music Publishing,Lionel Walters,Iron Bar,complainer,Laurel Aitken,Iron Bar,0.8
54,54,1963,Francis Day & Hunter v. Bron,Mabel Wayne,In a Little Spanish Town,complainer,Paul Whiteman and His Ambassador Orchestra,In a Little Spanish Town,0.85
55,55,1964,Irving Berlin et al. v. E.C. Publications,Irving Berlin,A Pretty Girl is Like a Melody,complainer,Irving Berlin,A Pretty Girl Is Like a Melody,0.95
56,56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,A Thousand Miles Away,complainer,The Heartbeats,A Thousand Miles Away,0.95
57,57,1965,Life Music v. Broadcast Music,Patricia Smith and Don Fenton,SUPERCALAFAJALISTICK ESPEEALADOJUS,complainer,Richard M. Sherman and Robert B. Sherman,Supercalifragilisticexpialidocious,0.85
58,58,1965,Nordstrom v. R.C.A.,Frank Nordstrom,Mizpah or Shalom,complainer,The Tokens,The Lion Sleeps Tonight,0.6
59,59,1967,Packson v. Jobete,"Lorenzo Pack, Harper Evans",I'm Afraid,complainer,Marvin Gaye,Ain't That Peculiar,0.8
60,60,1967,In re Geman Collecting Society GEMA,GEMA / Franz Josef Breuer,Schwarzbraun ist die Haselnuss,complainer,Heino,Schwarzbraun ist die Haselnuss,0.8
61,61,1969,Leo Feist v. Apollo Records,Gus Kahn et al.,"Toot, Toot, Tootsie",complainer,Al Jolson,"Toot, Toot, Tootsie (Goo' Bye)",0.95
62,62,1970,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,Wilhelm Kienzl,O schöne Jugendtage,complainer,Wilhelm Kienzl,O schöne Jugendtage,0.9
63,63,1973,Strachborneo v. Arc Music,Ruth Stratchborneo,MOJO Workout,complainer,Ruth Stratchborneo,Mojo Workout,0.8
64,64,1975,Mood Music v. De Wolfe,Armando Sciascia,Sogno Nostalgico,complainer,Armando Sciascia,Sogno Nostalgico,0.85
65,65,1976,Bright Tunes Music v. Harrisongs Music,Ronald Mack,He's So Fine,complainer,The Chiffons,He's So Fine,0.99
66,66,1976,Granite Music v. United Artists,Leon Pober,Tiny Bubbles,complainer,Don Ho,Tiny Bubbles,0.95
67,67,1976,MCA Music v. Earl Wilson,Don Raye and Hughie Prince,Boogie Woogie Bugle Boy,complainer,The Andrews Sisters,Boogie Woogie Bugle Boy,0.95
68,68,1978,Ferguson v. National Broadcasting Company,Wilma Ferguson,Jeannie Michele,complainer,Stevie Wonder,Isn't She Lovely,0.8
69,69,1978,Herald Square Music v. Living Music,Stephen Schwartz,Day by Day,complainer,Godspell Cast,Day by Day,0.85
70,70,1978,Plymouth Music Co. v. Magnus Organ Corp.,Anonymous,Holiday Polka,complainer,Bobby Vinton,Holiday Polka,0.8
71,71,1978,Harry v. Suzuki,Harry Warren,The Boulevard of Broken Dreams,complainer,Tony Bennett,Boulevard of Broken Dreams,0.7
72,72,1980,Elsmere Music v. N.B.C.,Steve Karman,I Love New York (advertising jingle),complainer,Steve Karmen,I Love New York,0.95
73,73,1980,Hanseatic Musikverlag v. Bellver Musikverlag,Pantelis Ghinnis,Dirlada,complainer,Dionysis Savvopoulos,Dirlada,0.8
74,74,1980,Testa v. Janssen,Philip J. Lipari,Kept on Singing,complainer,Climax,Life and Breath,0.7
75,75,1982,Gondos v. Hardy,Ivan Gondos,Variations,complainer,Andrew Lloyd Webber,Variations,0.8
76,76,1984,Selle v. Gibb,Ronald Selle,Let It End,complainer,Bee Gees,How Deep Is Your Love,0.95
77,77,1984,Pendleton v. Acuff-Rose,Howard Leslie Pendleton,Just a Blue Box,complainer,Roy Acuff and his Smoky Mountain Boys,Wabash Cannonball,0.7
78,78,1985,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",Isaac Hayes,The Theme From Shaft,complainer,Isaac Hayes,Theme from Shaft,0.95
79,79,1985,Lawson v. Dundas,David Lawson,Channel 4 Jingle,complainer,David Dundas,Channel 4 Theme,0.8
80,80,1985,Dixon v. Atlantic Recording Corp.,William Dixon,I Need Love,complainer,LL Cool J,I Need Love,0.8
81,81,1986,Anheuser Busch v. Elsmere Music,Steve Karmen,Budweiser Beer Commercial (1970s),complainer,Steve Karmen,Here Comes the King,0.95
82,82,1986,Benson v. Coca-Cola,John Benson,Don't Cha Know,complainer,Michael Jackson,Wanna Be Startin' Somethin',0.7
83,83,1986,Fisher v. Dees,Marvin Fisher and Jack Segal,When Sunny Gets Blue,complainer,Johnny Mathis,When Sunny Gets Blue,0.95
84,84,1987,Baxter v. MCA,Leslie Baxter,Joy,complainer,Les Baxter,Joy,0.85
85,85,1987,Siskind v. Newton-John,Laura Siskind,Take a Chance on Love,complainer,Olivia Newton-John,Take a Chance,0.8
86,86,1987,Verge v. Imperial Oil Ltd.,Cyril Verge,It's a Brand New World,complainer,Cyril Verge,It's a Brand New World,0.8
87,87,1987,Warner Bros. v. Dundas,Tom Waits,Martha,complainer,Tom Waits,Martha,0.95
88,88,1987,Williamson v. Pearson Partnership,Rogers & Hammerstein,"""There is Nothing Like a Dame""",complainer,Various Artists,There is Nothing Like a Dame,0.85
89,89,1988,Gaste v. Morris Kaiserman,Louis Gaste,Pour Toi,complainer,Morris Albert,Feelings,0.95
90,90,1988,Magazine-Music Verlag v. Ralph Siegel,Julio Iglesias,Alle Liebe dieser Erde; Un canto a galicia,complainer,Julio Iglesias,Un canto a Galicia,0.95
91,91,1988,Edition Magazine Music v. Sony ATV,Katy Kassay,…wie ein Kind,complainer,Sandra,Secret Land,0.8
92,92,1989,CBS Records Australia v. Guy Cross,Collette Roberts,Ring My Bell (CBS Version),complainer,Collette,Ring My Bell,0.95
93,93,1990,Queen & David Bowie v. Vanilla Ice,Queen & David Bowie,Under Pressure,complainer,Queen & David Bowie,Under Pressure,1.0
94,94,1990,Dawson v. Hinshaw Music,William Dawson (Arr.),Ezekiel Saw De Wheel,complainer,"Traditional, arr. William Dawson",Ezekiel Saw De Wheel,0.9
95,95,1990,Levine v. McDonald's Corp.,Paul DiFranco and Norman Dolph,Life is a Rock (But the Radio Rolled Me,complainer,Reunion,Life is a Rock (But the Radio Rolled Me),0.95
96,96,1990,Black v. Gosdin,Damon Black,The Jukebox,complainer,Vern Gosdin,That Just About Does It,0.7
97,97,1991,Grignon v. Roussel,Rene Grignon,Chanson Numero 7,complainer,Rene Grignon,Chanson Numero 7,0.8
98,98,1991,Grand Upright v. Warner,"Raymond ""Gilbert"" O'Sullivan",Alone Again (Naturally),complainer,Gilbert O'Sullivan,Alone Again (Naturally),1.0
99,99,1991,Intersong-USA v. CBS,Enrique Chia,Es,complainer,Enrique Chia,Es,0.95
100,100,1991,McDonald v. Multimedia Entertainment,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",complainer,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",0.5
101,101,1991,Enigma v. Phlegma 1991,Enigma,Sadeness I,complainer,Enigma,Sadeness (Part I),0.95
102,102,1991,EMI U Catalog Inc. v. Far Musikverlag,Tony McKay aka Exuma,There´s a Brown Girl in the Ring,complainer,Boney M.,Brown Girl in the Ring,0.9
103,103,1991,Herbolzheimer v. Farian,Malcolm’s Lock,Brown Girl,complainer,Boney M.,Brown Girl in the Ring,0.8
104,104,1992,Chiate v. Morris,Lloyd Chiate,Hello It's Me / I Just Called to Say,complainer,Stevie Wonder,I Just Called to Say I Love You,0.7
105,105,1992,Moore v. Columbia Pictures,Derrick D. Moore,She Can't Stand It,complainer,Public Enemy,She Watch Channel Zero?!,0.8
106,106,1993,EMI Music v. Papathanasiou,Stavros Logarides,City of Violets,complainer,Vangelis,City of Violets,0.8
107,107,1993,Jarvis v. A & M Records,Boyd Jarvis,The Music's Got Me,complainer,Bassheads,The Music's Got Me,0.8
108,108,1993,Tempo Music v. Famous Music,"Duke Ellington, Billy Strayhorn, Johnny Mercer",Satin Doll,complainer,Duke Ellington,Satin Doll,0.95
109,109,1993,Sylvestre v. Oswald,Michael Sylvestre and Dougals Richwine,Heaven,complainer,Warrant,Heaven,0.7
110,110,1993,Les Inconnus v. Parker,Les Inconnus,Auteuil Neuilly Passy,complainer,Les Inconnus,Auteuil Neuilly Passy,0.95
111,111,1994,Drynan v. Rostad,James Drynan,Filion Family Welcome,complainer,James Drynan,Filion Family Welcome,0.8
112,112,1994,Campbell v. Acuff-Rose,Williams Dees and Roy Orbison,"Oh, Pretty Woman",complainer,Roy Orbison,"Oh, Pretty Woman",0.9
113,113,1994,Fantasy v. Fogerty,John Fogerty,Run Through the Jungle,complainer,Creedence Clearwater Revival,Run Through the Jungle,0.95
114,114,1994,Tin Pan Apple v. Miller Brewing,Morales and Robertson [Fat Boys],Stick 'em,complainer,Fat Boys,Stick 'Em,0.95
115,115,1995,Crystal Cartier v. Michael Jackson,Crystal Cartier,Dangerous,complainer,Michael Jackson,Dangerous,0.95
116,116,1995,La Cienega Music Co. v. ZZ Top,John Hooker and Bernard Besman,Boogie Chillen,complainer,John Lee Hooker,Boogie Chillen',0.95
117,117,1995,Woods v. Bourne,Harry Woods,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",complainer,Al Jolson,"When the Red, Red Robin Comes Bob-Bob-Bobbin' Along",0.9
118,118,1996,Palmieri v. Estefan,Eddie Palmieri,Paginas De Mujer,complainer,Gloria Estefan,Abriendo Puertas,0.75
119,119,1996,Santrayll v. Burrell,Rene Santrayll & Michael Walker,Uh Oh,complainer,MC Hammer,U Can't Touch This,0.8
120,120,1996,Smith v. Michael Jackson,Robert Smith and Reynard Jones,Don't Let the Sunshine / Happy Go Lucky Girl,complainer,Michael Jackson,The Girl Is Mine,0.7
121,121,1997,Damiano v. Sony,James Damiano,Miscellaneous lyrics and instrumental arrangement,complainer,Bob Dylan,Dignity,0.75
122,122,1997,McRae v. Smith,Maree McRae,"Every Minute, Every Hour, Every Day",complainer,Maree McRae,"Every Minute, Every Hour, Every Day",0.9
123,123,1997,Repp v. Webber,Ray Repp,Till You,complainer,Andrew Lloyd Webber,The Phantom of the Opera,0.7
124,124,1997,Tuff 'N' Rumble v. Profile Records,Robert Plant et al.,Impeach the President,complainer,The Honey Drippers,Impeach the President,0.95
125,125,1999,BTE v. Bonnecaze,"Kevin Griffin, et al.",Coyote,complainer,Better Than Ezra,Coyote,0.85
126,126,1999,Ellis v. Diffie,Everett Ellis,Lay Me Out By the Jukebox When I Die,complainer,Joe Diffie,Prop Me Up Beside the Jukebox (If I Die),0.95
127,127,1999,Selletti v. Carey,Christopher Selletti,Hero,complainer,Mariah Carey,Hero,0.95
128,128,1999,Suzane McKinley v. Collin Raye,Suzane McKinley,I Think About You,complainer,Collin Raye,I Think About You,0.95
129,129,1999,ZZ Top v. Chrysler Corp.,"Billy Gibbons, et al.",La Grange,complainer,ZZ Top,La Grange,0.95
130,130,1999,Anzilotti v. Hildenbeutel,Snap!,Green Grass Grows (Earth follows),complainer,Snap!,Green Grass Grows (Earth follows),0.9
131,131,2000,Armstrong v. Virgin Records,"John McLaughlin, et al.",Planetary Citizen,complainer,Mahavishnu Orchestra,Planetary Citizen,0.95
132,132,2000,Three Boys Music v. Michael Bolton,Isley Brothers,Love is a Wonderful Thing,complainer,Michael Bolton,Love Is a Wonderful Thing,0.95
133,133,2000,Tisi v. Patrick,Michael Tisi,Sell Your Soul,complainer,Michael Tisi,Sell Your Soul,0.8
134,134,2000,Bouffard v. Ministère Public,,Various pop songs in SACEM catalog,complainer,nan,Various,0.5
135,135,2000,"Cooper v. Ogilvy & Mather, et al.",Matthew Cooper,The Lower we Fly,complainer,Eluvium,The Lower We Fly,0.7
136,136,2001,Oliviera v. Frito-Lay,Astrud Gilberto,Girl from Ipenama,complainer,Astrud Gilberto,The Girl from Ipanema,0.9
137,137,2001,Albano Carrisi v. Michael Jackson,Albano Carrisi,I cigni di Balaka,complainer,Michael Jackson,Will You Be There,0.9
138,138,2001,Marlon Williams v. Calvin Broadus,Marlon Williams,The Symphony,complainer,Marley Marl,The Symphony,0.85
139,139,2001,Johnson v. Berry,Chuck Berry and Johnnie Johnson,Wee Wee Hours,complainer,Chuck Berry,Wee Wee Hours,0.95
140,140,2001,Toliver v. Sony Music,Paula Toliver,Independent Lady,complainer,Paula Perry,Independent Woman,0.7
141,141,2002,Creagh v. Hit and Run Music,Marianne Creagh,Where are You Now,complainer,Jackson Browne,Where Were You,0.6
142,142,2002,Jean et al. v. Bug Music,"Leo Nocentelli, et al.",Hand Clapping Song,complainer,The Meters,Hand Clapping Song,0.95
143,143,2002,Malmstedt v. EMI Records,Stephan Malmstedt,Jenny and I,complainer,Stephan Malmstedt,Jenny and I,0.8
144,144,2002,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer,Enrique Iglesias,Heartbeat,0.7
145,145,2003,Cottrill v. Spears,Michael Cottrill and Lawrence Wnukowski,What You See is What You Get,complainer,Britney Spears,What U See (Is What U Get),0.95
146,146,2003,Newton v. Diamond,James W. Newton,Choir,complainer,Beastie Boys,Pass the Mic,0.9
147,147,2003,Ory v. Country Joe McDonald,"Edward ""Kid"" Ory",Muskrat Ramble,complainer,Country Joe McDonald,Muskrat Ramble,0.95
148,148,2003,Jorgensen v. Epic/Sony Records,John L. Jorgensen,Long Lost Lover,complainer,Michael Bolton,Love Is a Wonderful Thing,0.7
149,149,2003,Ergin v. Kershaw,"Mehmet Ergin, Christoph Lienemann",Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,complainer,Mehmet Ergin,"Jingle of German bank: ""Wenn’s ums Geld geht-Sparkasse""",0.85
150,150,2003,Kobayashi v. Hatorri,Asei Kobayashi,Dokomademo Ikou [Let's Go Anywhere],complainer,Asei Kobayashi,Dokomademo Ikou,0.95
151,151,2004,Apollo v. Coca Cola,Apollo Inc.,When the Sun Rises,complainer,Yanni,When the Sun Rises,0.6
152,152,2004,Swirsky v. Carey,Seth Swirsky and Warryn Campbell,One of Those Love Songs,complainer,Mariah Carey,Thank God I Found You,0.9
153,153,2004,"Disney Enterprises, Inc. v. S.G. Griesel",Soloman Ntsele [p/k/a/ Linda],Mbube,complainer,The Tokens,The Lion Sleeps Tonight,0.9
154,154,2004,Ulloa v. Universal,Demme Ulloa,Brief countermelody to defendant's song,complainer,Jennifer Lopez,I'm Real,0.6
155,155,2005,BMS Entertainment v. Bridges,"Ramid Brown, et al.",Straight Like That,complainer,Ludacris,Get Back,0.8
156,156,2005,"Bridgeport Music v. Dimension Films, et al.",George Clinton,Get Off Your Ass and Jam,complainer,Funkadelic,Get Off Your Ass and Jam,0.95
157,157,2005,Coffey v. Warner/Chappell Music,Elizabeth Coffey,Forever After,complainer,TobyMac,Gone,0.7
158,158,2005,Griffin v. J-Records,Tia Griffin,Heart of Gold,complainer,Neil Young,Heart of Gold,0.6
159,159,2005,Johnson v. Gordon,Calvin R. Johnson,You’re the One (For Me),complainer,D-Train,You're the One for Me,0.9
160,160,2005,Positive Black Talk v. Cash Money Records,"Jerome Temple (""Jubilee"")",Back That Ass Up,complainer,Juvenile,Back That Azz Up,0.95
161,161,2005,Vargas v. Pfizer,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,complainer,Ralph Vargas,Bust Dat Groove Without Ride,0.9
162,162,2005,Yong Wang v. Zhengben Zhu,Yong Wang,Send My Comrade to Beijing,complainer,Yong Wang,Send My Comrade to Beijing,0.8
163,163,2005,Bacalov v. Endrigo,Sergio Endrigo,Nelle mie notti,complainer,Sergio Endrigo,Nelle mie notti,0.95
164,164,2006,Boone v. Jackson,"Carl Boone (""Trajik"")",Holla Back,complainer,Trajik,Holla Back,0.8
165,165,2006,Tilford v. Jones,Bradley Tilford,Still Tippin',complainer,Mike Jones feat. Slim Thug and Paul Wall,Still Tippin',0.95
166,166,2007,Armour v. Knowles,Jennifer Armour,Got a Little Bit of Love for You,complainer,Beyoncé,Baby Boy,0.7
167,167,2007,Bridgeport Music v. Combs,"Robert Jones, et al.",Singing in the Morning,complainer,Notorious B.I.G.,Ready to Die,0.6
168,168,2007,"Lil' Joe Wein Music, Inc. v. Jackson",Luther Campbell,It's Your Birthday,complainer,2 Live Crew,It's Your Birthday,0.85
169,169,2007,People v. Hu,Lo,Lianshang Love Song,complainer,Lo Ta-yu,Love Song 1990,0.7
170,170,2007,Vargas v. Transeau,Ralph Vargas and Bland-Ricky Roberts,Aparthenonia,complainer,BT,Aparthenonia,0.8
171,171,2007,Velez v. Sony Discos,Victor Velez,Hasta Hoy,complainer,Marc Anthony,Hasta Ayer,0.7
172,172,2007,Lester v. U2,Chris Lester,Nowhere Fast,complainer,U2,Vertigo,0.8
173,173,2007,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",Xu Ruhui,"Arrangements of Chinese Operas, including: The Mother as Slave",complainer,Traditional,The Mother as Slave,0.6
174,174,2008,Glover v. Austin,Corey Glover,Make Up Your Mind,complainer,Corey Glover,Make Up Your Mind,0.85
175,175,2008,"Winter v. Moore, et al.","Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Nordrach,complainer,Jud's Gallery,Nordrach,0.85
176,176,2008,Sampath v. Roshan,Ram Sampath,The Thump,complainer,Ram Sampath,The Thump,0.9
177,177,2009,Allen v. Destiny's Child,Rickey Allen,Cater 2 U,complainer,Destiny's Child,Cater 2 U,0.95
178,178,2009,Brainard v. Vassar,Dustin Evans,Good Ol' Days to Come,complainer,Dustin Evans,Good Ol' Days to Come,0.9
179,179,2009,"Steele v. Bongiovi, et al.",Samuel Steele,Man I Really Love This Team,complainer,Bon Jovi,I Love This Town,0.8
180,180,2009,"Bridgeport Music, Inc. v. UMG Recordings, Inc",George Clinton,Atomic Dog,complainer,George Clinton,Atomic Dog,0.95
181,181,2009,Jones v. Blige,Leonard Jones and James E. White,Party Ain't Crunk,complainer,Mary J. Blige,Enough Cryin',0.7
182,182,2009,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",Joe Satriani,If I Could Fly,complainer,Joe Satriani,If I Could Fly,1.0
183,183,2009,Weh v. Universal Music Publishing,WEH,Heartbeat,complainer,Nneka,Heartbeat,0.7
184,184,2010,"Currin v. Pharrell Williams, et al.",David & Peter Currin,I'm Frontin',complainer,Pharrell Williams feat. Jay-Z,Frontin',0.9
185,185,2010,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,Marion Sinclair,Kookaburra Sits in the Old Gum Tree,complainer,Men at Work,Down Under,0.95
186,186,2010,Marshall v. Huffman,Preston Marshall,You are the One,complainer,Shiny Toy Guns,You Are the One,0.7
187,187,2010,"Prunte v. Universal Music Group Inc., et al.",Robert R. Prunte,"Fire in Da Hole, Plus Others",complainer,Nelly,N Dey Say,0.4
188,188,2010,Martel Ellis v. Wyclef Jean,Martel Ellis,Danger,complainer,Wyclef Jean,Danger,0.8
189,189,2010,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",Ebony Latrice Batts aka “Phoenix Phenom”,Boom Dynamite,complainer,The Black Eyed Peas,Boom Boom Pow,0.85
190,190,2010,"Holmes v. Page, et al.",Jake Holmes,Dazed and Confused,complainer,Led Zeppelin,Dazed and Confused,0.95
191,191,2011,"Ernest Straughter v. Usher Raymond, et al.",Ernest Straughter,The Reasons Why,complainer,Usher,Burn,0.85
192,192,2011,Pyatt v. Raymond,Wadena Pyatt,Caught Up,complainer,Usher,Caught Up,0.95
193,193,2011,Lessem v. Taylor,"Ryan Lessem, Douglas Johnson",Elevator,complainer,Flo Rida,Elevator,0.9
194,194,2011,"Saregama India v. Timothy Mosley, et al.",Anonymous,Baghon Mein Behar Hai,complainer,Timberland,Put You on the Game,0.8
195,195,2011,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",Marshall Mathers [aka “Eminem”],Advertisement for Chrysler Corp.,complainer,Eminem,Lose Yourself,0.95
196,196,2011,Obinger v. McDonald's,Stephan Obinger,,complainer,Stephan Obinger,Unknown,0.1
197,197,2011,Stokes v. Stephens,Anthony Stokes,Where are You Now?,complainer,Justin Bieber feat. Diplo and Skrillex,Where Are Ü Now,0.7
198,198,2012,"Lyles v. Capital - EMI Music, Inc., et al.",Bruce Lyles,Without You,complainer,David Guetta feat. Usher,Without You,0.6
199,199,2012,Peters v. West,Vince Peters,Stronger,complainer,Kanye West,Stronger,0.95
200,200,2012,People v. Xinru Wang,Meiru Huang,What Is Wrong with Love,complainer,Xinru Wang,What Is Wrong with Love,0.8
