case_id,year,case_name,case_artist,case_title,case_role,gpt_artist,gpt_title,gpt_conf,musicbrainz_id,mb_artist,mb_title,case_status
48,1956,Robertson v. Batten,Donald Irwin Robertson,The Happy Whistler,complainer,Don Robertson,The Happy Whistler,0.95,2cfe5657-ae74-4f3f-b8ff-192cb5bb7b09,Don Robertson,Don Robertson - The Happy Whistler,
49,1956,Smith v. Muehlebach Brewing,Leonard Smith,Proposed Advertising Jingle for Muehlebach Beer,complainer,Not applicable,Proposed Advertising Jingle for Muehlebach Beer,0.3,2e3955c1-23cc-4d92-8ef1-854ba3b2df8c,Not Applicable,Test Tone,
50,1956,Wihtol v. Wells,I.B. Sergei (Wihtol),My God and I,complainer,I.B. Sergei,My God and I,0.9,9747c28c-97af-40f2-92de-765d6caf55ea,Reverorum ib Malacht,God Is,
51,1958,Cholvin v. B & F Music,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,complainer,Homer Cholvin and Norman Stade,When the Sun Bids the Sky Goodnight,0.7,25ce13e7-d82c-4d41-8865-3d71287c0082,Paul Whiteman & His Orchestra,When the Sun Bids the Moon Goodnight,
52,1959,Dorchester Music v. National Broadcasting Company,Fred Spielman,Rendezvous,complainer,Fred Spielman,Rendezvous,0.7,6838a4d3-af28-43c1-8af3-0c030a62be2c,Quirin Amper Jr. & Fred Strittmatter,Chasing Situations: Rendezvous,
53,1960,Walters v. Shari Music Publishing,Lionel Walters,Iron Bar,complainer,Laurel Aitken,Iron Bar,0.8,f4bdf8db-833c-417a-987b-7e62a66438c0,Laurel Aitken & The Blue Beats,Bar Tender,
54,1963,Francis Day & Hunter v. Bron,Mabel Wayne,In a Little Spanish Town,complainer,Paul Whiteman and His Ambassador Orchestra,In a Little Spanish Town,0.85,28b0d479-f9ce-4e36-97f9-c1e43ee7fc27,Bunny Berigan and His Orchestra,In a Little Spanish Town,
55,1964,Irving Berlin et al. v. E.C. Publications,Irving Berlin,A Pretty Girl is Like a Melody,complainer,Irving Berlin,A Pretty Girl Is Like a Melody,0.95,bbd17759-c966-4b8e-91c6-af68003b0a2d,Irving Berlin,A Pretty Girl is Like a Melody,
56,1964,"Nom Music, Inc. V. Kaslin",James Sheppard and William Miller,A Thousand Miles Away,complainer,The Heartbeats,A Thousand Miles Away,0.95,1f0a6589-dd1f-4f6b-9c84-2c40ac721fa2,The Heartbeats,A Thousand Miles Away,
57,1965,Life Music v. Broadcast Music,Patricia Smith and Don Fenton,SUPERCALAFAJALISTICK ESPEEALADOJUS,complainer,Richard M. Sherman and Robert B. Sherman,Supercalifragilisticexpialidocious,0.85,16f4070e-26bd-4e7e-8a78-f03b39c98a7b,Richard M. Sherman & Robert B. Sherman,Supercalifragilisticexpialidocious,
58,1965,Nordstrom v. R.C.A.,Frank Nordstrom,Mizpah or Shalom,complainer,The Tokens,The Lion Sleeps Tonight,0.6,51a8cbd6-442c-4e78-a26d-0734261ec88d,The Tokens,The Lion Sleeps Tonight,
59,1967,Packson v. Jobete,"Lorenzo Pack, Harper Evans",I'm Afraid,complainer,Marvin Gaye,Ain't That Peculiar,0.8,2ef6f8b3-812d-4362-8f47-9506d4839b64,Marvin Gaye,Ain’t That Peculiar,
60,1967,In re Geman Collecting Society GEMA,GEMA / Franz Josef Breuer,Schwarzbraun ist die Haselnuss,complainer,Heino,Schwarzbraun ist die Haselnuss,0.8,20ee0326-b0e2-4bef-aa1a-f1103795a133,Heino,Schwarzbraun ist die Haselnuss,
61,1969,Leo Feist v. Apollo Records,Gus Kahn et al.,"Toot, Toot, Tootsie",complainer,Al Jolson,"Toot, Toot, Tootsie (Goo' Bye)",0.95,97e875fc-2ab8-4c49-adf1-b3d66d9070f6,Al Jolson,"Toot, Toot, Tootsie! (Goo’ Bye)",
62,1970,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,Wilhelm Kienzl,O schöne Jugendtage,complainer,Wilhelm Kienzl,O schöne Jugendtage,0.9,09c25541-4f29-4745-a467-212d6ed6a1de,Wilhelm Kienzl (piano),"Der Evangelimann: „Selig sind, die Verfolgung leiden”",
63,1973,Strachborneo v. Arc Music,Ruth Stratchborneo,MOJO Workout,complainer,Ruth Stratchborneo,Mojo Workout,0.8,0c3875d0-c59c-4398-9db4-bc4ef36fd407,The Kingsmen,Mojo Workout,
64,1975,Mood Music v. De Wolfe,Armando Sciascia,Sogno Nostalgico,complainer,Armando Sciascia,Sogno Nostalgico,0.85,65dd297d-54dd-4aef-a84f-5240049aaea7,Armando Sciascia,Tiger,
65,1976,Bright Tunes Music v. Harrisongs Music,Ronald Mack,He's So Fine,complainer,The Chiffons,He's So Fine,0.99,3bc5ede4-4011-4e0f-b810-f4658dea11fc,The Chiffons,He’s So Fine,
66,1976,Granite Music v. United Artists,Leon Pober,Tiny Bubbles,complainer,Don Ho,Tiny Bubbles,0.95,93d4951b-a890-4825-8b44-965d2e315eb6,Don Ho,Tiny Bubbles,
67,1976,MCA Music v. Earl Wilson,Don Raye and Hughie Prince,Boogie Woogie Bugle Boy,complainer,The Andrews Sisters,Boogie Woogie Bugle Boy,0.95,1fa5a3b9-56eb-48ca-b388-4750cb800357,Andrews Sisters,Boogie Woogie Bugle Boy,
68,1978,Ferguson v. National Broadcasting Company,Wilma Ferguson,Jeannie Michele,complainer,Stevie Wonder,Isn't She Lovely,0.8,d5bd4d64-8b3f-40c6-84e0-8e12906383be,Stevie Wonder,Isn't She Lovely,
69,1978,Herald Square Music v. Living Music,Stephen Schwartz,Day by Day,complainer,Godspell Cast,Day by Day,0.85,385c083d-f453-43a4-a5e7-de703f54b7b4,Godspell Cast,Day By Day,
70,1978,Plymouth Music Co. v. Magnus Organ Corp.,Anonymous,Holiday Polka,complainer,Bobby Vinton,Holiday Polka,0.8,1b253901-80c4-42e1-ae20-fff39080845c,Bobby Vinton,Polka Radio,
71,1978,Harry v. Suzuki,Harry Warren,The Boulevard of Broken Dreams,complainer,Tony Bennett,Boulevard of Broken Dreams,0.7,c7640473-924c-4595-8251-fac77f9f2f74,Tony Bennett,Boulevard of Broken Dreams,
72,1980,Elsmere Music v. N.B.C.,Steve Karman,I Love New York (advertising jingle),complainer,Steve Karmen,I Love New York,0.95,9625124d-f30f-4218-bafb-38b77dcd5091,Steve Lippia,"New York, New York",
73,1980,Hanseatic Musikverlag v. Bellver Musikverlag,Pantelis Ghinnis,Dirlada,complainer,Dionysis Savvopoulos,Dirlada,0.8,aa56ec81-9d41-4c09-b898-eee284822e65,Dionysis Savvopoulos,Wind / Glutch,
74,1980,Testa v. Janssen,Philip J. Lipari,Kept on Singing,complainer,Climax,Life and Breath,0.7,abf95e72-a069-4514-8f82-aa5d291f1bec,Climax,Life and Breath,
75,1982,Gondos v. Hardy,Ivan Gondos,Variations,complainer,Andrew Lloyd Webber,Variations,0.8,b8c9c88d-c104-4f41-a5d7-21d6d1177648,Andrew Lloyd Webber & Carrie Fletcher,Bad Cinderella (From Andrew Lloyd Webber’s “Cinderella),
76,1984,Selle v. Gibb,Ronald Selle,Let It End,complainer,Bee Gees,How Deep Is Your Love,0.95,9f5b1317-24cd-484f-870a-c68ad6109c68,Bee Gees,How Deep Is Your Love,
77,1984,Pendleton v. Acuff-Rose,Howard Leslie Pendleton,Just a Blue Box,complainer,Roy Acuff and his Smoky Mountain Boys,Wabash Cannonball,0.7,799972de-bcc6-4c76-8488-98c28ed99e8b,Roy Acuff and His Smoky Mountain Boys,Wabash Cannonball,
78,1985,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",Isaac Hayes,The Theme From Shaft,complainer,Isaac Hayes,Theme from Shaft,0.95,17768b67-952a-4858-8998-c20bfaf11cdb,Isaac Hayes,"Theme From ""Shaft""",
79,1985,Lawson v. Dundas,David Lawson,Channel 4 Jingle,complainer,David Dundas,Channel 4 Theme,0.8,e46b065e-336f-458d-8ee4-b1c5f3dbffb4,The Male Nurse,Channel 4 Theme,
80,1985,Dixon v. Atlantic Recording Corp.,William Dixon,I Need Love,complainer,LL Cool J,I Need Love,0.8,9bdbe865-6bc4-45cd-a071-8669e8285e89,LL Cool J,I Need Love,
81,1986,Anheuser Busch v. Elsmere Music,Steve Karmen,Budweiser Beer Commercial (1970s),complainer,Steve Karmen,Here Comes the King,0.95,f04fc421-cd84-42e8-a595-54c96d1c5315,Steve Karmen,Here Comes The King,
82,1986,Benson v. Coca-Cola,John Benson,Don't Cha Know,complainer,Michael Jackson,Wanna Be Startin' Somethin',0.7,ffbe1d3a-6fac-4560-9cbe-ddb54c316271,Michael Jackson,Wanna Be Startin’ Somethin’,
83,1986,Fisher v. Dees,Marvin Fisher and Jack Segal,When Sunny Gets Blue,complainer,Johnny Mathis,When Sunny Gets Blue,0.95,b821771f-434c-4deb-8c16-646a2b4e9e6a,Johnny Mathis,When Sunny Gets Blue,
84,1987,Baxter v. MCA,Leslie Baxter,Joy,complainer,Les Baxter,Joy,0.85,8d739155-c581-4ae2-9243-8e668a4d0f2a,Les Baxter,"Joy, Joy, Joy",
85,1987,Siskind v. Newton-John,Laura Siskind,Take a Chance on Love,complainer,Olivia Newton-John,Take a Chance,0.8,a26dd44c-c201-4369-95a9-4cf487d6316a,Olivia Newton‐John,Take A Chance (Remastered 2021),
86,1987,Verge v. Imperial Oil Ltd.,Cyril Verge,It's a Brand New World,complainer,Cyril Verge,It's a Brand New World,0.8,21fb1452-8a73-47b3-a049-5b6bd4598199,Cyril Neville,Brand New Blues,
87,1987,Warner Bros. v. Dundas,Tom Waits,Martha,complainer,Tom Waits,Martha,0.95,c114a044-f516-451c-a787-ca2d036fec07,Tom Waits,Martha,
88,1987,Williamson v. Pearson Partnership,Rogers & Hammerstein,"""There is Nothing Like a Dame""",complainer,Various Artists,There is Nothing Like a Dame,0.85,877c3ef8-1a05-442d-b641-721ef8fd76cd,Various Artists,There's No Business Like Show Business,
89,1988,Gaste v. Morris Kaiserman,Louis Gaste,Pour Toi,complainer,Morris Albert,Feelings,0.95,7a53dacc-0408-46f0-86a0-6ea0814ea5a4,Morris Albert,Feelings,
90,1988,Magazine-Music Verlag v. Ralph Siegel,Julio Iglesias,Alle Liebe dieser Erde; Un canto a galicia,complainer,Julio Iglesias,Un canto a Galicia,0.95,b42487a5-80ed-4242-a122-a96d23b037d3,Julio Iglesias,Un canto a Galicia,
91,1988,Edition Magazine Music v. Sony ATV,Katy Kassay,…wie ein Kind,complainer,Sandra,Secret Land,0.8,d9aef684-225c-4ac5-ba22-ceae6e77fafb,Sandra,Secret Land,
92,1989,CBS Records Australia v. Guy Cross,Collette Roberts,Ring My Bell (CBS Version),complainer,Collette,Ring My Bell,0.95,ad3eb162-dc34-4737-ba45-1c4ae9ebdb70,Collette,Ring My Bell,
93,1990,Queen & David Bowie v. Vanilla Ice,Queen & David Bowie,Under Pressure,complainer,Queen & David Bowie,Under Pressure,1.0,69b99307-141f-42ea-a239-59bad1b59e84,Queen & David Bowie,Under Pressure,
94,1990,Dawson v. Hinshaw Music,William Dawson (Arr.),Ezekiel Saw De Wheel,complainer,"Traditional, arr. William Dawson",Ezekiel Saw De Wheel,0.9,8ecb24cf-aacf-4494-ae56-864e8286c567,William Levi Dawson,Ezekiel saw de wheel,
95,1990,Levine v. McDonald's Corp.,Paul DiFranco and Norman Dolph,Life is a Rock (But the Radio Rolled Me,complainer,Reunion,Life is a Rock (But the Radio Rolled Me),0.95,e97d82b7-288c-40e1-8dba-beb512cb8745,Reunion,Life Is a Rock (But the Radio Rolled Me),
96,1990,Black v. Gosdin,Damon Black,The Jukebox,complainer,Vern Gosdin,That Just About Does It,0.7,0dd4b5c1-eb12-4b51-8239-ec175a5bfd11,Vern Gosdin,That Just About Does It,
97,1991,Grignon v. Roussel,Rene Grignon,Chanson Numero 7,complainer,Rene Grignon,Chanson Numero 7,0.8,c7ea03c5-d404-4eda-8e71-3844991fac1a,René Bartoli,Chanson,
98,1991,Grand Upright v. Warner,"Raymond ""Gilbert"" O'Sullivan",Alone Again (Naturally),complainer,Gilbert O'Sullivan,Alone Again (Naturally),1.0,9bd01eab-cb1d-420d-8a35-f3e960079970,Gilbert O’Sullivan,Alone Again (Naturally),
99,1991,Intersong-USA v. CBS,Enrique Chia,Es,complainer,Enrique Chia,Es,0.95,8391bf54-c4d4-4c1a-846f-aaa7ece81c99,Enrique Chía,Es,
100,1991,McDonald v. Multimedia Entertainment,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",complainer,Gerard McDonald,"Proposed Theme Music for ""Sally Jesse Raphael Show""",0.5,ddb47a59-9ed7-473a-abf2-4e37f76d5da0,Sunnyside,Sally Jesse Raphael,
101,1991,Enigma v. Phlegma 1991,Enigma,Sadeness I,complainer,Enigma,Sadeness (Part I),0.95,b4000933-2b7f-45b8-8bfd-ed4495e9b0e9,Enigma,"Sadeness, Part I",
102,1991,EMI U Catalog Inc. v. Far Musikverlag,Tony McKay aka Exuma,There´s a Brown Girl in the Ring,complainer,Boney M.,Brown Girl in the Ring,0.9,0b2ff069-4fb7-454c-8c06-d17bb2bfe916,Boney M.,Brown Girl in the Ring,
103,1991,Herbolzheimer v. Farian,Malcolm’s Lock,Brown Girl,complainer,Boney M.,Brown Girl in the Ring,0.8,236f988a-5ce2-4aec-bb79-300841e3c8b6,Boney M.,Brown Girl in the Ring,
104,1992,Chiate v. Morris,Lloyd Chiate,Hello It's Me / I Just Called to Say,complainer,Stevie Wonder,I Just Called to Say I Love You,0.7,121502bb-73c4-4f12-b56e-61cd7a292256,Stevie Wonder,Stevie Wonder– I Just Called To Say I Love You,
105,1992,Moore v. Columbia Pictures,Derrick D. Moore,She Can't Stand It,complainer,Public Enemy,She Watch Channel Zero?!,0.8,f6917127-83f8-4675-850a-b619cb6bdf24,Public Enemy,She Watch Channel Zero,
106,1993,EMI Music v. Papathanasiou,Stavros Logarides,City of Violets,complainer,Vangelis,City of Violets,0.8,6f2a1092-0371-4250-a34e-e05973b077f2,Brendan Shine,Bunch of Violets,
107,1993,Jarvis v. A & M Records,Boyd Jarvis,The Music's Got Me,complainer,Bassheads,The Music's Got Me,0.8,dcd74b9d-cb30-496c-a749-b6b6111bddb0,Phil Fuldner,Music Got Me,
108,1993,Tempo Music v. Famous Music,"Duke Ellington, Billy Strayhorn, Johnny Mercer",Satin Doll,complainer,Duke Ellington,Satin Doll,0.95,6929e711-386f-4086-91c2-9097f7399684,Claudio Nuñez,Satin Doll (Ellington),
109,1993,Sylvestre v. Oswald,Michael Sylvestre and Dougals Richwine,Heaven,complainer,Warrant,Heaven,0.7,b938e419-df67-4f8f-9c56-528fb8b50815,Warrant,Heaven,
110,1993,Les Inconnus v. Parker,Les Inconnus,Auteuil Neuilly Passy,complainer,Les Inconnus,Auteuil Neuilly Passy,0.95,f3dc64bc-d9eb-4e7a-8096-1f24360a0d52,Les Inconnus,Auteuil Neuilly Passy (Rap BCBG),
111,1994,Drynan v. Rostad,James Drynan,Filion Family Welcome,complainer,James Drynan,Filion Family Welcome,0.8,e6bca11e-722b-475c-a870-33052284e08b,Steve Jablonsky,Family Welcome,
112,1994,Campbell v. Acuff-Rose,Williams Dees and Roy Orbison,"Oh, Pretty Woman",complainer,Roy Orbison,"Oh, Pretty Woman",0.9,7ab30427-20ee-47c7-ba05-e870f8f0fd2e,Roy Orbison,Oh Pretty Woman (Oh Pretty Woman),
113,1994,Fantasy v. Fogerty,John Fogerty,Run Through the Jungle,complainer,Creedence Clearwater Revival,Run Through the Jungle,0.95,68ac6663-142e-4d65-8fd5-2dc394ff4bff,Creedence Clearwater Revival,Run Through the Jungle,
114,1994,Tin Pan Apple v. Miller Brewing,Morales and Robertson [Fat Boys],Stick 'em,complainer,Fat Boys,Stick 'Em,0.95,ffa59847-5c01-4484-9013-6f86d148e9ac,The Littlest Birds,Boys 'em Buzzards Flyin',
115,1995,Crystal Cartier v. Michael Jackson,Crystal Cartier,Dangerous,complainer,Michael Jackson,Dangerous,0.95,9b7017d5-3d06-4984-a3da-4f20a83e2037,Michael Jackson,Dangerous,
116,1995,La Cienega Music Co. v. ZZ Top,John Hooker and Bernard Besman,Boogie Chillen,complainer,John Lee Hooker,Boogie Chillen',0.95,b7035bab-95e7-4bf1-acc6-a5ea7a76a059,John Lee Hooker,Boogie Chillen,
